"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04514","hsa04514","Cell adhesion molecules (CAMs)","64/1513","147/8024",3.54653431633257e-12,1.12070484396109e-09,7.35439221386859e-10,"HLA-F/NFASC/CD28/CADM3/CTLA4/HLA-DMB/CD22/CDH15/NRCAM/MAG/HLA-B/HLA-A/ICAM1/PECAM1/SIGLEC1/ITGB2/CD86/ITGAM/LRRC4B/CD4/PTPRC/HLA-DQA1/HLA-DPA1/JAM2/HLA-DOA/CD34/HLA-DMA/HLA-DRA/HLA-DPB1/HLA-DRB1/LRRC4/CD226/CADM1/SELPLG/ITGAL/CD40/ITGA9/SDC2/NTNG2/ICAM2/HLA-DQA2/NRXN3/NRXN2/VCAM1/ALCAM/CD58/ITGB8/CNTNAP1/ITGA4/VCAN/VSIR/NECTIN1/ESAM/CLDN7/NECTIN3/CLDN6/L1CAM/SDC1/CLDN14/CLDN3/SELL/ITGA8/CDH2/CLDN10",64
"hsa05150","hsa05150","Staphylococcus aureus infection","43/1513","96/8024",4.46545065664743e-09,5.2534354466483e-07,3.44745763820691e-07,"FCGR2B/HLA-DMB/C5/CFI/C1QA/C5AR1/FCGR2C/FCGR2A/KRT34/LOC100653049/C1QB/C2/FPR3/C3AR1/C1R/CFD/FPR1/ICAM1/IL10/C1QC/FCGR1A/ITGB2/ITGAM/CAMP/HLA-DQA1/HLA-DPA1/HLA-DOA/HLA-DMA/HLA-DRA/HLA-DPB1/FPR2/HLA-DRB1/SELPLG/ITGAL/PTAFR/C1S/HLA-DQA2/CFB/KRT18/KRT19/KRT24/KRT27/FCGR3B",43
"hsa05323","hsa05323","Rheumatoid arthritis","42/1513","93/8024",4.98743871517244e-09,5.2534354466483e-07,3.44745763820691e-07,"MMP1/CD28/TNFSF13B/IL18/CTLA4/HLA-DMB/CCL2/TLR2/ATP6V0D2/CCL3L1/CCL3L3/CXCL1/ICAM1/TLR4/ITGB2/CSF1/CD86/HLA-DQA1/HLA-DPA1/HLA-DOA/HLA-DMA/CCL3/HLA-DRA/HLA-DPB1/HLA-DRB1/ITGAL/TGFB3/IL15/HLA-DQA2/TNFRSF11A/CTSK/IL6/TEK/TNFSF13/TGFB2/ATP6V1E2/ATP6V1G1/ATP6AP1/FLT1/CXCL12/TGFB1/CCL5",42
"hsa05144","hsa05144","Malaria","27/1513","50/8024",2.63390275731391e-08,1.84784735659586e-06,1.21261135659356e-06,"CR1/ACKR1/IL18/CCL2/TLR2/HBB/ICAM1/IL10/PECAM1/TLR4/COMP/ITGB2/CD36/HGF/ITGAL/TGFB3/CD40/SDC2/VCAM1/IL6/THBS1/TGFB2/CD81/TGFB1/SDC1/GYPB/GYPA",27
"hsa04060","hsa04060","Cytokine-cytokine receptor interaction","94/1513","294/8024",2.92380910853776e-08,1.84784735659586e-06,1.21261135659356e-06,"CCL13/IL12RB2/CCL8/BMP5/TNFSF13B/IL18/TNFRSF14/CXCL16/CCL2/CCL18/TNFSF9/EDA/CCL3L1/CCL3L3/IL15RA/CCL4/TNFSF8/CXCL1/IL12RB1/IL1RL1/PF4V1/IL33/IL10/IL22RA1/IL16/TNFSF18/CCR9/FAS/CSF1/CD4/CCL3/CCL4L2/CCL4L1/BMP6/OSM/TNFSF14/GDF7/GDF6/TNFRSF10A/CCR10/TGFB3/TNFRSF19/IL6ST/CD40/CSH1/IL2RG/TNFSF15/PPBP/IL15/TNFSF12/IL18R1/TNFRSF11A/CCR5/CXCR4/BMPR1B/IL6R/IL6/CLCF1/TNFSF13/IL27RA/BMP8B/CXCL14/CD27/IL17RC/ACVRL1/BMP2/NODAL/ACVR1B/CTF1/CCR3/TGFB2/IL36RN/ACVR2A/TGFBR1/IL20RB/TNFRSF12A/LIFR/IFNGR1/GH2/IFNLR1/TNFRSF1B/IL1R2/IL20RA/CCL28/CXCL12/TGFB1/CX3CL1/CCL5/LEP/IL27/INHBA/CCR7/GDF15/INHA",94
"hsa04145","hsa04145","Phagosome","56/1513","152/8024",1.1482846843055e-07,5.2028769886629e-06,3.41427970275347e-06,"HLA-F/FCGR2B/HLA-DMB/TUBB4A/TLR2/FCGR2C/FCGR2A/ATP6V0D2/C1R/HLA-B/NCF2/HLA-A/TLR6/CTSS/FCGR1A/TLR4/COMP/ITGB2/CD36/ITGAM/CD14/HLA-DQA1/HLA-DPA1/CYBB/HLA-DOA/MARCO/HLA-DMA/HLA-DRA/HLA-DPB1/MRC1/MSR1/HLA-DRB1/CLEC7A/CD209/HLA-DQA2/SFTPD/TUBB2A/THBS1/CORO1A/DYNC2H1/RAB7B/ATP6V1E2/NCF4/ITGB5/ATP6V1G1/LAMP1/ATP6AP1/COLEC11/CANX/LAMP2/CALR/SCARB1/ITGB3/TUBB3/FCGR3B/NCF1",56
"hsa04022","hsa04022","cGMP-PKG signaling pathway","60/1513","167/8024",1.15253604179242e-07,5.2028769886629e-06,3.41427970275347e-06,"ADCY2/KCNMA1/PDE2A/PDE3B/PDE3A/GUCY1A2/KCNMB1/ADRA2A/PIK3R6/PIK3CG/TRPC6/PIK3R5/ADORA3/PRKG1/ADCY3/GUCY1B1/PLCB2/PLCB4/MEF2C/KNG1/ADCY4/GUCY1A1/NFATC2/PDE5A/FXYD2/CACNA1C/IRS1/MRVI1/SLC8A1/ADRA2B/AGTR1/ADRA1B/PLCB1/CNGB1/EDNRA/ADRB2/GATA4/NFATC4/ATP2B1/ADRB3/NPR2/MEF2A/ATP1B1/RGS2/ITPR2/EDNRB/ITPR1/CREB3L2/ATP1B3/ADCY1/CACNA1F/IRS2/ATP1B2/ADRA1D/CALM1/BDKRB2/NOS3/NPPB/INSR/ADCY5",60
"hsa04610","hsa04610","Complement and coagulation cascades","37/1513","85/8024",1.3288931189312e-07,5.24912781977824e-06,3.44463084775588e-06,"CR1/C4BPB/C5/CFI/C1QA/C5AR1/C1QB/C2/C7/VWF/C3AR1/F13A1/C1R/CFD/A2M/C1QC/VSIG4/ITGB2/F2RL3/CFHR1/ITGAM/KNG1/PROS1/ITGAX/SERPINA1/VTN/C1S/F3/F8/F5/CFB/CD55/BDKRB2/C8G/PROCR/TFPI/F2RL2",37
"hsa04672","hsa04672","Intestinal immune network for IgA production","25/1513","49/8024",3.70605940492537e-07,1.30123863550713e-05,8.53910763474032e-06,"CD28/TNFSF13B/HLA-DMB/IL15RA/IL10/CCR9/CD86/HLA-DQA1/HLA-DPA1/HLA-DOA/HLA-DMA/HLA-DRA/HLA-DPB1/HLA-DRB1/CCR10/CD40/IL15/HLA-DQA2/CXCR4/IL6/TNFSF13/ITGA4/CCL28/CXCL12/TGFB1",25
"hsa04611","hsa04611","Platelet activation","47/1513","124/8024",4.57686173005657e-07,1.44628830669788e-05,9.49096590338048e-06,"ADCY2/GUCY1A2/FCGR2A/FCER1G/PIK3R6/VWF/PIK3CG/TBXAS1/PLA2G4A/SYK/F2RL3/LCP2/PIK3R5/PRKG1/ADCY3/GUCY1B1/PLCB2/PLCB4/PRKACB/FERMT3/PTGIR/ADCY4/GUCY1A1/TBXA2R/P2RY12/RASGRP1/PIK3CD/P2RY1/PLCB1/GP5/MAPK11/PIK3R3/ARHGAP35/PLA2G4C/BTK/APBB1IP/ITPR2/ITPR1/ADCY1/PIK3CB/LYN/PLA2G4F/PRKCZ/NOS3/ITGB3/ADCY5/GP9",47
