"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007186","GO:0007186","G protein-coupled receptor signaling pathway","194/1842","288/4998",2.72797332923842e-27,1.03499308111305e-23,7.93983816352023e-24,"HTR1F/HCRTR2/CCL13/RAMP3/ADCY2/GPR12/PENK/CCL8/GLRB/ACKR1/PDE2A/GPR85/PDE3B/C5AR2/PREX2/C5/LPAR5/CXCL16/P2RY14/PDE3A/PTGFR/CCL2/CCL18/C5AR1/OR7D2/CMKLR1/OR10J3/GNAL/ADRA2A/PIK3R6/FPR3/CCL3L1/CCL3L3/ADGRB1/PDE8B/PIK3CG/C3AR1/CCL4/HTR2B/CXCL1/DGKE/EDN1/FPR1/GPR84/GPR34/MRAP/RGS1/SSTR1/ATRNL1/AKR1C3/GNA14/CCR9/LRRK2/DGKH/ADGRD1/RGS20/GPR65/GNA15/GABRA4/F2RL3/PLEK/AREG/PIK3R5/RPH3AL/RGS11/ADGRB2/LPAR1/ADORA3/RGS18/ARHGEF6/MARCO/APOE/P2RY8/GPR162/PTGER2/ADCY3/MRGPRF/GPER1/CCL3/PLCB2/PTGER4/ADGRE1/PLCB4/PLCL1/RASGRP4/PDE4B/PRKACB/CCL4L1/DGKG/PTGIR/GPR153/HRH2/UTS2B/GPR4/CYSLTR1/FPR2/ADGRL2/LPAR6/CYSLTR2/KNG1/ADCY4/OR51E2/OR51B4/ARRB2/BICD1/GPR183/GPR27/TBXA2R/P2RY12/PTH2R/TAC3/NXPH4/FGD2/P2RY1/CCR10/OXER1/OR3A1/RGS5/OR8A1/BECN2/P2RY13/GABBR1/APLNR/PTAFR/ADRA2B/GPR68/RAC2/SLC12A2/AGTR1/PDE4A/PPBP/PDE7B/ADRA1B/PDGFRB/GPR135/PLCB1/HTR1B/CNGB1/RAMP2/APLN/EDNRA/ADRB2/TAS1R3/PDE6B/RGS19/PDE6G/HTR7/ADGRA2/CCR5/VAV1/TMOD2/RGS9/IQGAP2/NGEF/ADRA1D/ADORA2A/CCL28/GABRA2/CALM1/SAA1/LPAR3/HTR4/BDKRB2/GALR3/CXCL12/KISS1/TGM2/INSR/NMT2/CX3CL1/OR10A3/CHRM4/HTR1D/ADCY5/OBSCN/RGS16/MTNR1B/CCL5/GNGT1/GUCA1A/EREG/GPR160/TACR3/ANO1/OR2T8/GPR32/ADGRL3/GPRC5C/CGA/DRD2/CCR7/LHB/CCRL2/F2RL2",194
"GO:0010469","GO:0010469","regulation of signaling receptor activity","126/1842","183/4998",3.66740301796015e-19,6.95706352507041e-16,5.33703649718938e-16,"FGF10/SPX/WNT10A/CCL13/LEFTY2/RAMP3/FGF7/TGFA/PENK/CCL8/ARC/BMP5/FCGR2B/TNFSF13B/MAPT/WNT3A/IL18/CXCL16/LYPD6/CCL2/CCL18/HAMP/TNFSF9/ADRA2A/FGF14/CCL3L1/CCL3L3/LEFTY1/HBEGF/FGF13/CCL4/TNFSF8/CXCL1/KL/EDN1/IGF1/PF4V1/NBL1/IL33/IL10/IL16/GDNF/KITLG/ADA2/SECTM1/GSG1L/TNFSF18/SPP1/WNT2/GUCA2A/CSF1/TTR/AREG/GAS6/VEGFC/HEYL/CCL3/CCL4L1/BMP6/CKLF/MEF2C/UTS2B/OSM/ERFE/FBN1/TNFSF14/BICD1/GMFG/GDF7/GDF6/KCNK3/HGF/P2RY1/TGFB3/JAG1/CSH1/ADRA2B/TNFSF15/PPBP/IL15/TNFSF12/CDC42EP2/LYNX1/APLN/ADRB2/STC1/PDGFC/CSHL1/RGS9/GPNMB/CBLB/CCL28/GREM2/CXCL12/FAM3B/TGFB1/MANF/NPPB/TDGF1/CX3CL1/SHANK1/NEURL1/CCL5/NOV/EBI3/EREG/RLN1/WNT10B/NTF4/INSL4/LEP/PSCA/IL27/INHBA/CGB1/CGA/CGB3/LHB/CGB7/CD320/GDF15/INHA/C17orf99/CGB2/NCF1/RELN",126
"GO:0006954","GO:0006954","inflammatory response","178/1842","298/4998",1.18973077734049e-16,1.50461285640995e-13,1.15424757871806e-13,"CR1/CCL13/IDO1/C4BPB/CD28/CCL8/TLR8/FCGR2B/ACKR1/PDE2A/MAPT/IL18/C5AR2/C5/CFI/SCN9A/PTGFR/CCL2/APOD/CCL18/C1QA/HAMP/TLR2/C5AR1/CMKLR1/FOLR2/FCER1G/VNN1/C1QB/C2/TLR7/C7/FPR3/CCL3L1/CCL3L3/PIK3CG/CRP/C3AR1/LPL/C1R/CCL4/CXCL1/TLR1/IL1RL1/FPR1/ICAM1/PF4V1/TLR6/A2M/IL33/LY86/IL10/RARRES2/SYK/C1QC/APOL3/HYAL1/MMP9/CD163/TLR4/PLA2G7/SIGLEC1/NFAM1/LRRK2/SPP1/AFAP1L2/THEMIS2/ITGB2/REG3G/CSF1/PSTPIP1/FABP4/CFHR1/TNFAIP8L2/ITGAM/CD44/CD14/TMIGD3/NOD2/HCK/PTPRC/AOC3/CD200R1/ADORA3/PLA2G5/CYBB/LYZ/IGFBP4/CD180/APOE/AIF1/PTGER2/LGALS9/GPER1/NRROS/PLA2G2A/CCL3/CPN2/PTGER4/NLRP1/CHI3L1/HAVCR2/CCL4L1/IFI16/CAMK1D/BMP6/PTGIR/CYSLTR1/FPR2/KNG1/NLRP3/OSM/TMSB4X/AIM2/PROS1/CIITA/STAB1/SERPINA1/WFDC1/TBXA2R/LY75/RASGRP1/PIK3CD/HGF/ITGAL/EPHX2/SUSD4/CLEC7A/VTN/IL6ST/CD40/PTAFR/GPSM3/SIGLEC10/GPR68/AGTR1/PPBP/IL15/C1S/LY96/IL18R1/FOXF1/TNFRSF11A/F3/CCR5/CYP19A1/IL1R2/CD200/ADORA2A/PRKCZ/CDO1/TICAM2/SAA1/BCL6/RIPK2/SLC7A2/BDKRB2/GBA/NT5E/TGFB1/TGM2/CX3CL1/SDC1/CCL5/NOV/TFR2/C8G/LEP/GPR32/IL27/CCR7/CCRL2/TREM1/CD96/NLRP10/APOA2/LBP/SMPDL3B",178
"GO:0002250","GO:0002250","adaptive immune response","102/1842","147/4998",4.59093877693071e-16,4.35450542991878e-13,3.34051203110879e-13,"CR1/MCOLN2/SLAMF6/HLA-F/C4BPB/SLAMF1/CD28/TLR8/FCGR2B/TNFSF13B/IL18/CTLA4/CD84/C5/CFI/C1QA/LILRB4/LAIR1/FCER1G/C1QB/C2/LILRB1/KLHL6/C7/PIK3CG/CRP/LILRB2/C1R/LILRB5/HLA-B/IL12RB1/IL1RL1/HLA-A/ICAM1/IL33/IL10/CTSS/MICB/SYK/C1QC/LILRA6/TLR4/CLEC4A/TNFSF18/CD86/CD4/PTPRC/RIPK3/BCL3/CD74/RFTN1/WAS/FCGR1B/ADGRE1/PRKCB/LILRB3/HAVCR2/SLA2/MEF2C/LEF1/PRF1/NLRP3/BMX/SAMSN1/SASH3/RNF125/ZAP70/GPR183/CD226/PIK3CD/C1RL/BATF/GAPT/SUSD4/IL6ST/CD48/CD40/JAG1/SIGLEC10/CD209/FCER2/JAK3/C1S/IL18R1/HLX/MYO1G/CD7/TNFRSF11A/ARG1/LAT2/PRKCZ/FOXJ1/BCL6/RIPK2/TGFB1/CLC/EBI3/C8G/IL27/NLRP10/C17orf99/RORC",102
"GO:0050900","GO:0050900","leukocyte migration","122/1842","190/4998",5.95417121719222e-15,4.51802511960546e-12,3.46595440327084e-12,"MCOLN2/CCL13/MMP1/CH25H/CCL8/BMP5/CD84/C5AR2/C5/TNFRSF14/CXCL16/CCL2/APOD/CCL18/C5AR1/CMKLR1/ADTRP/MMP28/FCER1G/MAG/CCL3L1/CCL3L3/PIK3CG/C3AR1/CCL4/CXCL1/DOK2/EDN1/ICAM1/PF4V1/NBL1/IL33/IL10/RARRES2/IL16/SYK/KITLG/MMP9/PECAM1/PLA2G7/TNFSF18/ITGB2/CSF1/ITGAM/CD44/DBH/NCKAP1L/HCK/CD200R1/RIPK3/JAM2/GAS6/AIF1/PTPRO/SLC7A7/CD74/VEGFC/LGALS9/CD34/CCL3/TRPM2/PTGER4/PDE4B/CCL4L1/CAMK1D/CKLF/FPR2/ZAP70/TNFSF14/GPR183/PROS1/ITGAX/P2RY12/TNFRSF10A/PIK3CD/SELPLG/CD300A/ITGAL/GRB14/CD48/PTAFR/GPSM3/RAC2/SLC12A2/PPBP/ITGA9/SDC2/PLCB1/MYO1G/TNFRSF11A/CCR5/VAV1/CYP19A1/GCNT1/ATP1B2/CD200/CCL28/FOXJ1/SAA1/FLT1/CALR/CXCL12/TGFB1/SLC7A5/L1CAM/CX3CL1/SDC1/ITGB3/SLC16A3/CCL5/NOV/PSG1/RIPOR2/LEP/SELL/EPCAM/CCR7/ADD2/GYPB/GYPA/TREM1/LBP",122
"GO:0002684","GO:0002684","positive regulation of immune system process","205/1842","368/4998",1.70725327200393e-14,1.07955315233049e-11,8.28167595980854e-12,"FGF10/CR1/SLAMF6/ZBTB16/IDO1/HLA-F/C4BPB/CD28/CCL8/TLR8/FCGR2B/TNFSF13B/WNT3A/IL18/CTLA4/CD84/HLA-DMB/C5AR2/C5/TNFRSF14/CFI/CCL2/C1QA/CD22/TLR2/LILRB4/C5AR1/TNFSF9/CMKLR1/FCGR2A/FCER1G/VNN1/C1QB/C2/TLR7/LILRB1/KLHL6/C7/PIK3R6/FPR3/CD300LF/CRP/C3AR1/LILRB2/C1R/CCL4/TLR1/HLA-B/IL12RB1/IL1RL1/RGCC/CFD/EDN1/IGF1/FPR1/HLA-A/ICAM1/TLR6/A2M/IL33/CTSG/IL10/RARRES2/CTSS/MICB/SYK/C1QC/FCGR1A/KITLG/VSIG4/TLR4/PLA2G7/CLEC4A/NFAM1/TNFSF18/LRRK2/THEMIS2/ITGB2/REG3G/CSF1/CD36/CD86/CFHR1/ITGAM/LCP2/CD14/NOD2/CD4/NCKAP1L/HCK/PTPRC/HLA-DQA1/HLA-DPA1/GAS6/MARCO/FOXC1/AIF1/CD74/VEGFC/RFTN1/LGALS9/DCSTAMP/WAS/CCL3/CPN2/EVI2B/HLA-DRA/PRKCB/HLA-DPB1/HAVCR2/PDE4B/PRKACB/SLA2/IFI16/CAMK1D/MEF2C/LEF1/FPR2/NLRP3/BMX/CGAS/HLA-DRB1/ARRB2/NFATC2/EFNB2/SASH3/AIM2/RNF125/ZAP70/TNFSF14/GPR183/IGFBP2/PROS1/TREM2/CD226/P2RY12/RASGRP1/CADM1/PIK3CD/C1RL/TMEM173/FCN3/CD300A/MNDA/MYB/SUSD4/CLEC7A/VTN/IL6ST/CD40/JAG1/PTAFR/GPSM3/CD209/FCER2/JAK3/GPR68/RAC2/IL15/TOX/RASAL3/C1S/ITPKB/LY96/IL18R1/LAG3/HLX/FOXF1/ICAM2/MYO1G/HLA-DQA2/ARG1/FGR/VAV1/LAT2/HSP90B1/PRKCZ/FOXJ1/TICAM2/COL20A1/BCL6/RIPK2/CALR/CXCL12/TGFB1/DMBT1/GRAP2/CCL5/EBI3/EREG/C8G/GATA1/RIPOR2/LEP/GPR32/INHBA/LTF/SPTA1/CCR7/TREML4/CD320/NLRP10/C17orf99/LBP/SMPDL3B",205
"GO:0032101","GO:0032101","regulation of response to external stimulus","178/1842","310/4998",2.51550933586234e-14,1.36340606003739e-11,1.04592230280592e-11,"FGF10/CR1/SPX/IDO1/C4BPB/PDPN/CD28/PLXNA4/FCGR2B/PDE2A/WNT3A/IL18/C5AR2/C5/SPAAR/ABCC8/CFI/CCL2/APOD/CCL18/C1QA/TLR2/C5AR1/CMKLR1/ADTRP/MMP28/FCER1G/C1QB/C2/MYOD1/TLR7/LILRB1/C7/CCL3L1/CCL3L3/PIK3CG/C3AR1/LPL/C1R/CCL4/IL12RB1/RTN4RL1/IL1RL1/EDN1/NBL1/TLR6/A2M/IL33/LY86/IL10/RARRES2/IL16/SYT11/MICB/SYK/C1QC/MMP9/TLR4/PLA2G7/LRRK2/SPP1/ITGB2/CSF1/CD36/FABP4/CFHR1/TNFAIP8L2/ITGAM/PLEK/NOD2/NCKAP1L/HCK/PTPRC/CD200R1/LPAR1/PLA2G5/SEMA3C/GAS6/CD180/APOE/AIF1/PTPRO/PRKG1/CD74/VEGFC/LGALS9/SEMA6B/CD34/GPER1/SIGLEC11/SEMA3A/PLA2G2A/CCL3/CPN2/PTGER4/NLRP1/HAVCR2/CAMK1D/BMP6/FPR2/KNG1/ZSWIM6/NLRP3/OSM/CGAS/ADAMTS18/SEMA3E/EFNB2/TMSB4X/AIM2/RNF125/TNFSF14/GPR183/PROS1/WFDC1/TBXA2R/P2RY12/TMEM173/HGF/ENPP4/SEMA3G/SUSD4/VTN/IL6ST/GPSM3/SIGLEC10/RAC2/AGTR1/IL15/C1S/PDGFRB/LY96/CNGB1/CASK/FOXF1/PDE6B/TNFRSF11A/SMOC2/PDE6G/ARG1/ADGRA2/F3/SEMA6D/CYP19A1/IL1R2/CD200/ADORA2A/CALM1/HTRA1/SAA1/BCL6/RIPK2/SLC7A2/CALR/GBA/CXCL12/NT5E/TSPAN32/TGFB1/TGM2/NOS3/NMT2/CX3CL1/CCL5/NOV/GUCA1A/TNR/C8G/RIPOR2/LEP/TFPI/IL27/LTF/DRD2/CCR7/NLRP10/LBP/SMPDL3B",178
"GO:0098609","GO:0098609","cell-cell adhesion","177/1842","314/4998",3.08344708088418e-13,1.46232477810932e-10,1.1218067340322e-10,"CDH19/ZBTB16/IDO1/PDPN/NFASC/CD28/ITGAD/CADM3/SPARCL1/BMP5/FCGR2B/TNFSF13B/WNT3A/IL18/CTLA4/CD84/HLA-DMB/CLSTN2/TNFRSF14/CCL2/LILRB4/CDH6/TNFSF9/CDH15/ADTRP/NRCAM/VNN1/MAG/LILRB1/PIK3R6/PCDHB16/PIK3CG/LILRB2/DTX1/HBB/IL12RB1/RGCC/PCDHGB3/IGF1/NEXMIF/ICAM1/IL10/FAT1/SYK/PECAM1/SIGLEC1/PCDHB13/IGSF21/ITGB2/CD86/TNFAIP8L2/ITGAM/CD44/PLEK/NOD2/LRRC4B/CD4/NCKAP1L/PTPRC/CD200R1/HLA-DPA1/JAM2/GAS6/ASTN1/CD93/AIF1/PRKG1/CD74/LGALS9/ROBO4/CD34/PCDH17/MBP/HLA-DPB1/HAVCR2/CCM2L/FERMT3/PCDHB7/PCDHB12/PCDHGA1/LEF1/PTPRT/PTPRD/NLRP3/ADAMTS18/CTNND2/NRARP/EFNB2/SASH3/LRRC4/ZAP70/TNFSF14/IGFBP2/ITGAX/NPHP1/PCDHGA12/P2RY12/KIRREL2/RASGRP1/CADM1/PDE5A/SELPLG/CD300A/LRP6/ITGAL/MYB/PCDHGA6/DSCAML1/BVES/ROBO3/IL6ST/JAG1/PTAFR/CD209/SRPX2/JAK3/RAC2/IL15/RASAL3/PCDHB11/ITPKB/NTNG2/PKP1/PCDHGB2/LAG3/CNTN4/HLX/FOXF1/ICAM2/ARG1/PCDH10/VAV1/NRXN3/NRXN2/GPNMB/GCNT1/CD200/KIRREL3/ADORA2A/CCL28/PRKCZ/NECTIN4/FOXJ1/BCL6/PCDH1/RIPK2/FSTL3/NECTIN3/CXCL12/NT5E/TSPAN32/TGFB1/CLDN6/L1CAM/CX3CL1/ITGB3/CLDN14/GRAP2/CCL5/NOV/TNR/EBI3/CLDN3/GATA1/RIPOR2/LEP/SELL/MPZL2/ADGRL3/TENM4/EPCAM/ITGA8/SPTA1/CDH2/CCR7/ADD2/CLDN10",177
"GO:0050776","GO:0050776","regulation of immune response","193/1842","350/4998",4.15291947109995e-13,1.75068627481702e-10,1.34302015644343e-10,"CR1/SLAMF6/IDO1/HLA-F/C4BPB/CD28/TLR8/FCGR2B/TNFSF13B/IL18/CTLA4/CD84/HLA-DMB/C5AR2/C5/TNFRSF14/CFI/C1QA/CD22/TLR2/LILRB4/C5AR1/LAIR1/CD300LG/CMKLR1/FCGR2A/FCER1G/C1QB/C2/TLR7/LILRB1/KLHL6/C7/PIK3R6/FPR3/CD300LF/CRP/C3AR1/LILRB2/C1R/SIGLEC7/TLR1/HLA-B/IL12RB1/IL1RL1/RGCC/CFD/FPR1/HLA-A/ICAM1/TLR6/A2M/IL33/CTSG/IL10/CTSS/MICB/SYK/C1QC/FCGR1A/CLEC2B/SIGLEC9/VSIG4/TLR4/CLEC4A/NFAM1/CD300C/THEMIS2/ITGB2/REG3G/CD36/CD86/CFHR1/NCR1/ITGAM/LCP2/CD14/NOD2/CD4/TYROBP/NCKAP1L/HCK/PTPRC/HCST/CD200R1/HLA-DQA1/HLA-DPA1/RIPK3/CD33/MARCO/CD300LB/CD74/RFTN1/LGALS9/WAS/FCGR1B/CD34/CPN2/HLA-DRA/PRKCB/HLA-DPB1/HAVCR2/PDE4B/PRKACB/SLA2/IFI16/MEF2C/FPR2/NLRP3/BMX/CGAS/HLA-DRB1/SAMSN1/ARRB2/NFATC2/SASH3/AIM2/RNF125/ZAP70/PROS1/TREM2/CD226/RASGRP1/CADM1/PIK3CD/C1RL/TMEM173/FCN3/CD300A/MNDA/ITGAL/NPDC1/MYB/TGFB3/SUSD4/CLEC7A/VTN/IL6ST/CD48/CD40/PTAFR/CD209/FCER2/JAK3/RAC2/IL15/C1S/LY96/IL18R1/LAG3/HLX/FOXF1/ICAM2/MYO1G/HLA-DQA2/ARG1/FGR/BST2/VAV1/LAT2/CD200/HSP90B1/PRKCZ/FOXJ1/CALM1/TICAM2/COL20A1/BCL6/RIPK2/TGFB1/NCR3LG1/DMBT1/GRAP2/CLC/CCL5/EREG/C8G/LEP/GPR32/SELL/IL27/TREML2/LTF/DRD2/CCR7/TREML4/TREM1/CD96/NLRP10/C17orf99/APOA2/LBP/SMPDL3B",193
"GO:0043269","GO:0043269","regulation of ion transport","140/1842","238/4998",1.49400050921064e-12,5.66823793194517e-10,4.34832779786044e-10,"SCN1A/RAMP3/LRRC38/ARC/KCNMA1/SCN1B/CACNA2D4/NALCN/CD84/KCNA4/ABCC8/CACNB4/P2RX5/SCN9A/SCN2A/CCL2/HAMP/CACNA1H/KCNMB1/ADRA2A/KCNJ5/FGF14/LILRB1/KCNQ3/KCNJ16/PIK3CG/LILRB2/CCL4/SCN7A/ANK2/EDN1/ICAM1/KCNJ2/IL16/CTSS/SYT11/LRRC55/SYK/GDNF/SCN11A/MMP9/RGN/GSG1L/RYR2/TRPC6/ATP8A1/KCNAB1/F2RL3/CD4/KCNIP3/SYT15/CYBB/SNCG/KCNQ1/KCNAB2/KCNH2/BEST1/APOE/MYO5A/GPER1/FHL1/CCL3/SCN4B/KCNS2/KCNK17/PDE4B/SYT3/MEF2C/HECW2/CLIC2/KCNA3/ERFE/CACNA2D2/ARRB2/TMSB4X/P2RY12/JPH4/NOS1AP/P2RY1/FXYD2/CACNA1C/CEMIP/GCK/SLC8A1/APLNR/PTAFR/PDGFRB/HTR1B/CACNB1/RRAD/CASK/NKX2-5/GJC2/ADRB2/STC1/TNFRSF11A/ARG1/KCNQ4/KCNJ10/KCNIP4/RGS9/ATP1B2/ADORA2A/CALM1/NKAIN1/CLIC3/CACNA1I/LPAR3/CXCL12/TGFB1/KCNJ6/JPH3/NOS3/GLRX/HCN2/PRSS8/CX3CL1/SYT12/CD63/SLN/MRLN/SHANK1/KCNA6/KCNN2/MTNR1B/ABCB1/CCL5/GEM/TF/REM2/KCNH4/LEP/SLC38A3/WNK4/DRD2/KCNA7/CLDN10/P2RX2/RELN/SLC30A10",140
