"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0004888","GO:0004888","transmembrane signaling receptor activity","194/1816","276/4998",4.28200578306373e-32,2.49640937152615e-29,2.00578165627722e-29,"CR1/HTR1F/HCRTR2/RAMP3/IL12RB2/GPR12/MUSK/SLAMF1/GRIA4/TLR8/GLRB/PLXNA4/GRID1/FCGR2B/ACKR1/GPR85/C5AR2/LPAR5/ABCC8/TNFRSF14/PTPRB/P2RX5/P2RY14/PTGFR/C5AR1/IGSF6/OR7D2/CMKLR1/OR10J3/FCGR2C/ADRA2A/FCER1G/TLR7/LILRB1/FPR3/ADGRB1/C3AR1/IL15RA/LILRB2/HTR2B/TLR1/LILRB5/GRIK2/IL12RB1/PKD1L3/IL1RL1/PTPRZ1/FPR1/ICAM1/TLR6/GPR84/GPR34/IL22RA1/SSTR1/TLR4/CLEC4A/ERBB4/NFAM1/GRIN2C/CCR9/ADGRD1/CD300C/LYVE1/EVI2A/GPR65/ITGB2/REG3G/FAS/GABRA4/PLXNC1/F2RL3/CD44/CD14/CD72/CD4/PTPRC/ADGRB2/CD200R1/NTRK2/HLA-DQA1/LPAR1/ADORA3/GFRA2/HLA-DPA1/HLA-DOA/MARCO/PTPRO/P2RY8/GPR162/CD74/PTGER2/FCGR1B/PTPRN2/MRGPRF/GPER1/ANTXR1/PTGER4/HLA-DRA/ADGRE1/LILRB3/ABCC9/MRC1/PTGIR/GPR153/HRH2/PTPRT/GPR4/CYSLTR1/FPR2/ADGRL2/LPAR6/CYSLTR2/PTPRD/OR51E2/EPHA3/OR51B4/GPR183/ANTXR2/GPR27/TBXA2R/P2RY12/LY75/TNFRSF10A/PTH2R/LRP6/ITGAL/P2RY1/CCR10/PKD2L1/OXER1/PTPRG/OR3A1/LTK/OR8A1/TNFRSF19/IL6ST/P2RY13/GABBR1/APLNR/PTAFR/IL2RG/ADRA2B/GPR68/AGTR1/ADRA1B/PDGFRB/IL18R1/GPR135/HTR1B/LAG3/RAMP2/EDNRA/ADRB2/TAS1R3/HLA-DQA2/TNFRSF11A/HTR7/ADGRA2/CCR5/LTBP4/NRP2/NRXN2/IL1R2/ADRA1D/ADORA2A/GABRA2/EBP/FLT1/LPAR3/HTR4/BDKRB2/GALR3/IL17REL/INSR/LRP8/L1CAM/OR10A3/CHRM4/HTR1D/MTNR1B/EBI3/GPR160/CLDN3/TACR3/OR2T8/GPR32/ENG/ADGRL3/GPRC5C/DRD2/CCR7/CCRL2/F2RL2/P2RX2",194
"GO:0038023","GO:0038023","signaling receptor activity","237/1816","364/4998",4.95057384335111e-31,1.44309227533685e-28,1.15947650541644e-28,"CR1/HTR1F/HCRTR2/RAMP3/IL12RB2/GPR12/MUSK/SLAMF1/CD28/GRIA4/TLR8/GLRB/PLXNA4/GRID1/FCGR2B/ACKR1/GPR85/C5AR2/LPAR5/ABCC8/TNFRSF14/PTPRB/P2RX5/P2RY14/PTGFR/TLR2/LILRB4/C5AR1/IGSF6/OR7D2/CMKLR1/OR10J3/FCGR2C/ADRA2A/FOLR2/FCER1G/TLR7/LILRB1/FPR3/ADGRB1/C3AR1/IL15RA/LILRB2/SIGLEC7/HTR2B/TLR1/LILRB5/GRIK2/IL12RB1/RTN4RL1/PKD1L3/IL1RL1/PTPRZ1/FPR1/ICAM1/TLR6/GPR84/GPR34/IL22RA1/SSTR1/TLR4/CLEC4A/ERBB4/NFAM1/GRIN2C/CCR9/ADGRD1/CD300C/IGSF21/LYVE1/EVI2A/GPR65/ITGB2/REG3G/FAS/GABRA4/CD36/PLXNC1/CD86/F2RL3/CD44/CD14/CD72/CD4/PTPRC/ADGRB2/CD200R1/NTRK2/HLA-DQA1/LPAR1/ADORA3/GFRA2/HLA-DPA1/HLA-DOA/CD33/MARCO/CD93/PTPRO/NR2F1/P2RY8/GPR162/CD74/PTGER2/ROBO4/FCGR1B/PTPRN2/MRGPRF/GPER1/ANTXR1/GUCY1B1/PTGER4/HLA-DRA/ADGRE1/CUBN/LILRB3/ABCC9/MRC1/PTGIR/GPR153/LEF1/HRH2/PTPRT/GPR4/CYSLTR1/FPR2/ADGRL2/LPAR6/CYSLTR2/PTPRD/GUCY1A1/OR51E2/EPHA3/OR51B4/GPR183/ANTXR2/GPR27/ITGAX/TREM2/TBXA2R/P2RY12/LY75/TNFRSF10A/PTH2R/CD300A/LRP6/ITGAL/P2RY1/CCR10/PKD2L1/OXER1/PTPRG/OR3A1/LTK/OR8A1/RXRG/CLEC7A/TNFRSF19/IL6ST/CD48/CD40/P2RY13/GABBR1/APLNR/PTAFR/NR3C2/IL2RG/ADRA2B/GPR68/AGTR1/ADRA1B/PDGFRB/LY96/IL18R1/GPR135/HTR1B/LAG3/PGR/RARB/RAMP2/EDNRA/ADRB2/TAS1R3/HLA-DQA2/CD7/TNFRSF11A/PAQR8/HTR7/ADGRA2/NOTCH3/CCR5/LTBP4/NOTCH2/NRXN3/NRP2/NRXN2/IL1R2/ADRA1D/ADORA2A/GABRA2/NECTIN4/EBP/PAQR9/FLT1/LPAR3/HTR4/BDKRB2/GALR3/NECTIN3/SCARB1/IL17REL/INSR/LRP8/L1CAM/OR10A3/ITGB3/CHRM4/HTR1D/DMBT1/MTNR1B/EBI3/GPR160/CLDN3/TACR3/OR2T8/GPR32/ENG/PROCR/ADGRL3/GPRC5C/TREML2/DRD2/CCR7/CCRL2/TREM1/F2RL2/RORC/P2RX2",237
"GO:0060089","GO:0060089","molecular transducer activity","244/1816","383/4998",9.27248640371394e-30,1.80195319112174e-27,1.4478092805799e-27,"CR1/HTR1F/HCRTR2/RAMP3/IL12RB2/GPR12/MUSK/SLAMF1/CD28/GRIA4/TLR8/GLRB/PLXNA4/GRID1/FCGR2B/ACKR1/GPR85/C5AR2/LPAR5/ABCC8/TNFRSF14/PTPRB/P2RX5/P2RY14/PTGFR/TLR2/LILRB4/C5AR1/IGSF6/OR7D2/CMKLR1/OR10J3/FCGR2C/ADRA2A/FOLR2/FCER1G/TLR7/LILRB1/FPR3/ADGRB1/C3AR1/IL15RA/LILRB2/SIGLEC7/HTR2B/TLR1/LILRB5/GRIK2/IL12RB1/RTN4RL1/PKD1L3/IL1RL1/PTPRZ1/FPR1/ICAM1/TLR6/GPR84/GPR34/IL22RA1/SSTR1/TLR4/CLEC4A/ERBB4/NFAM1/GRIN2C/CCR9/ADGRD1/CD300C/IGSF21/LYVE1/EVI2A/GPR65/ITGB2/REG3G/FAS/GABRA4/CD36/PLXNC1/CD86/F2RL3/CD44/CD14/CD72/CD4/PTPRC/ADGRB2/CD200R1/NTRK2/HLA-DQA1/LPAR1/ADORA3/GFRA2/HLA-DPA1/HLA-DOA/CD33/MARCO/CD93/PTPRO/NR2F1/PRKG1/P2RY8/GPR162/CD74/PTGER2/ROBO4/FCGR1B/PTPRN2/MRGPRF/GPER1/ANTXR1/GUCY1B1/PTGER4/HLA-DRA/ADGRE1/CUBN/LILRB3/PRKACB/CDKL1/ABCC9/MRC1/PTGIR/GPR153/LEF1/HRH2/PTPRT/GPR4/CYSLTR1/FPR2/ADGRL2/LPAR6/CYSLTR2/PTPRD/GUCY1A1/OR51E2/EPHA3/OR51B4/GPR183/ANTXR2/GPR27/ITGAX/TREM2/TBXA2R/P2RY12/LY75/TNFRSF10A/PTH2R/PRKAA2/CD300A/LRP6/ITGAL/P2RY1/CCR10/PKD2L1/OXER1/CDK14/PTPRG/OR3A1/LTK/OR8A1/RXRG/CLEC7A/TNFRSF19/IL6ST/CD48/CD40/P2RY13/GABBR1/APLNR/PTAFR/NR3C2/IL2RG/ADRA2B/GPR68/AGTR1/ADRA1B/PDGFRB/LY96/IL18R1/GPR135/HTR1B/LAG3/PGR/RARB/RAMP2/EDNRA/ADRB2/TAS1R3/HLA-DQA2/CD7/TNFRSF11A/PAQR8/HTR7/ADGRA2/NOTCH3/CCR5/LTBP4/NOTCH2/NRXN3/NRP2/CCND1/NRXN2/IL1R2/ADRA1D/ADORA2A/GABRA2/NECTIN4/EBP/PAQR9/FLT1/LPAR3/HTR4/BDKRB2/GALR3/NECTIN3/SCARB1/IL17REL/INSR/LRP8/L1CAM/OR10A3/ITGB3/CHRM4/HTR1D/DMBT1/CDKN1A/MTNR1B/EBI3/GPR160/CLDN3/TACR3/OR2T8/GPR32/ENG/PROCR/ADGRL3/GPRC5C/TREML2/DRD2/CCR7/CCRL2/TREM1/F2RL2/RORC/P2RX2",244
"GO:0048018","GO:0048018","receptor ligand activity","114/1816","154/4998",4.4588840358032e-22,6.49882348218317e-20,5.2215878840327e-20,"FGF10/SPX/WNT10A/CCL13/LEFTY2/FGF7/TGFA/PENK/CCL8/BMP5/TNFSF13B/MAPT/WNT3A/IL18/C5/CXCL16/CCL2/CCL18/HAMP/TNFSF9/FGF14/CCL3L1/CCL3L3/LEFTY1/HBEGF/FGF13/CCL4/TNFSF8/CXCL1/KL/EDN1/IGF1/PF4V1/NBL1/IL33/IL10/IL16/GDNF/KITLG/ADA2/SECTM1/TNFSF18/SPP1/WNT2/GUCA2A/CSF1/TTR/AREG/SEMA3C/GAS6/VEGFC/SEMA6B/SEMA3A/CCL3/CCL4L1/BMP6/CKLF/UTS2B/OSM/ERFE/SEMA3E/FBN1/TNFSF14/GMFG/GDF7/GDF6/KCNK3/HGF/SEMA3G/TGFB3/JAG1/CSH1/TNFSF15/PPBP/IL15/TNFSF12/CDC42EP2/APLN/STC1/PDGFC/CSHL1/SEMA6D/GPNMB/CCL28/SAA1/GREM2/CXCL12/FAM3B/TGFB1/MANF/NPPB/TDGF1/CX3CL1/CCL5/NOV/EBI3/EREG/RLN1/WNT10B/NTF4/INSL4/LEP/IL27/INHBA/CGB1/CGA/CGB3/LHB/CGB7/CD320/GDF15/INHA/C17orf99/CGB2",114
"GO:0030545","GO:0030545","receptor regulator activity","119/1816","164/4998",9.24279627231653e-22,1.07771004535211e-19,8.65904071827549e-20,"FGF10/SPX/WNT10A/CCL13/LEFTY2/FGF7/TGFA/PENK/CCL8/BMP5/TNFSF13B/MAPT/WNT3A/IL18/C5/CXCL16/LYPD6/CCL2/CCL18/HAMP/TNFSF9/FGF14/CCL3L1/CCL3L3/LEFTY1/HBEGF/FGF13/CCL4/TNFSF8/CXCL1/KL/EDN1/IGF1/PF4V1/NBL1/IL33/IL10/IL16/GDNF/KITLG/ADA2/SECTM1/TNFSF18/SPP1/WNT2/GUCA2A/CSF1/TTR/AREG/DKK2/DKK3/SEMA3C/GAS6/VEGFC/SEMA6B/SEMA3A/CCL3/CCL4L1/BMP6/CKLF/UTS2B/OSM/ERFE/SEMA3E/FBN1/TNFSF14/GMFG/GDF7/GDF6/KCNK3/HGF/SEMA3G/TGFB3/JAG1/CSH1/TNFSF15/PPBP/IL15/TNFSF12/CDC42EP2/LYNX1/APLN/FST/STC1/PDGFC/CSHL1/SEMA6D/GPNMB/CCL28/SAA1/GREM2/CXCL12/FAM3B/TGFB1/MANF/NPPB/TDGF1/CX3CL1/CCL5/NOV/EBI3/EREG/RLN1/WNT10B/NTF4/INSL4/LEP/IL27/INHBA/CGB1/CGA/CGB3/LHB/CGB7/CD320/GDF15/INHA/C17orf99/CGB2",119
"GO:0004930","GO:0004930","G protein-coupled receptor activity","96/1816","123/4998",1.30961107297196e-21,1.27250542590442e-19,1.02241566223249e-19,"HTR1F/HCRTR2/RAMP3/GPR12/ACKR1/GPR85/C5AR2/LPAR5/P2RY14/PTGFR/C5AR1/OR7D2/CMKLR1/OR10J3/ADRA2A/FPR3/ADGRB1/C3AR1/HTR2B/FPR1/GPR84/GPR34/SSTR1/CCR9/ADGRD1/GPR65/F2RL3/ADGRB2/LPAR1/ADORA3/P2RY8/GPR162/PTGER2/MRGPRF/GPER1/PTGER4/ADGRE1/PTGIR/GPR153/HRH2/GPR4/CYSLTR1/FPR2/ADGRL2/LPAR6/CYSLTR2/OR51E2/OR51B4/GPR183/GPR27/TBXA2R/P2RY12/PTH2R/P2RY1/CCR10/OXER1/OR3A1/OR8A1/P2RY13/GABBR1/APLNR/PTAFR/ADRA2B/GPR68/AGTR1/ADRA1B/PDGFRB/GPR135/HTR1B/RAMP2/EDNRA/ADRB2/TAS1R3/HTR7/ADGRA2/CCR5/ADRA1D/ADORA2A/LPAR3/HTR4/BDKRB2/GALR3/OR10A3/CHRM4/HTR1D/MTNR1B/GPR160/TACR3/OR2T8/GPR32/ADGRL3/GPRC5C/DRD2/CCR7/CCRL2/F2RL2",96
"GO:0005125","GO:0005125","cytokine activity","55/1816","69/4998",1.44229719188723e-13,1.20122751838608e-11,9.65146241187697e-12,"CCL13/LEFTY2/CCL8/BMP5/TNFSF13B/IL18/C5/CXCL16/CCL2/CCL18/TNFSF9/CCL3L1/CCL3L3/LEFTY1/CCL4/TNFSF8/CXCL1/EDN1/PF4V1/IL33/IL10/IL16/KITLG/SECTM1/TNFSF18/SPP1/WNT2/CSF1/AREG/CCL3/CCL4L1/BMP6/CKLF/OSM/TNFSF14/GDF7/GDF6/TGFB3/TNFSF15/PPBP/IL15/TNFSF12/CCL28/GREM2/CXCL12/FAM3B/TGFB1/CX3CL1/CCL5/EBI3/IL27/INHBA/GDF15/INHA/C17orf99",55
"GO:0005539","GO:0005539","glycosaminoglycan binding","64/1816","88/4998",2.71174432955907e-12,1.97618368016617e-10,1.58779766664972e-10,"FGF10/CLEC3B/FGF7/ABI3BP/STAB2/CCL8/AOC1/TLR2/LPL/HBEGF/ADAMTS8/RTN4RL1/PF4V1/FGFBP1/CTSG/ECM2/ADA2/DPYSL3/EVA1C/LIPC/COMP/LYVE1/REG3G/CD44/TNXB/NOD2/COL5A3/PTPRC/PLA2G5/NDNF/APOE/CCDC80/SOD3/PRG2/KNG1/NLRP3/FBN1/RSPO3/STAB1/TREM2/LAYN/MMP7/CEMIP/VTN/LTBP2/ADAMTS5/DCN/SMOC2/LTBP4/COL11A1/NRP2/GPNMB/RSPO4/SAA1/WISP1/GREM2/PRSS57/APOA5/NOV/LIPH/ENG/SELL/LTF/ANG",64
"GO:0008201","GO:0008201","heparin binding","49/1816","64/4998",4.70888931646521e-11,3.05031385722135e-09,2.45082543371581e-09,"FGF10/CLEC3B/FGF7/ABI3BP/CCL8/AOC1/LPL/HBEGF/ADAMTS8/RTN4RL1/PF4V1/FGFBP1/CTSG/ECM2/ADA2/EVA1C/LIPC/COMP/TNXB/COL5A3/PTPRC/PLA2G5/NDNF/APOE/CCDC80/SOD3/PRG2/KNG1/FBN1/RSPO3/MMP7/VTN/LTBP2/ADAMTS5/SMOC2/COL11A1/NRP2/GPNMB/RSPO4/SAA1/WISP1/GREM2/PRSS57/APOA5/NOV/LIPH/SELL/LTF/ANG",49
"GO:0022836","GO:0022836","gated channel activity","77/1816","122/4998",1.09719475192257e-09,6.39664540370857e-08,5.13949120637413e-08,"SCN1A/MCOLN2/TRPA1/LRRC38/GRIA4/GLRB/KCNMA1/GRID1/SCN1B/CACNA2D4/NALCN/KCNA4/ABCC8/CACNB4/P2RX5/SCN9A/SCN2A/CLCA2/CACNA1H/KCNMB1/MCOLN3/KCNJ5/KCNQ3/KCNJ16/GRIK2/SCN7A/KCNJ2/LRRC55/SCN11A/RYR2/GRIN2C/KCNAB1/GABRA4/TTYH2/KCNIP3/CYBB/KCNQ1/GAS6/KCNAB2/KCNH2/BEST1/SCN4B/TRPM2/KCNS2/KCNK17/CLIC2/KCNA3/CACNA2D2/KCNK3/JPH4/PKD2L1/CACNA1C/TMC8/HTR1B/CACNB1/CNGB1/KCNQ4/KCNJ10/KCNIP4/RASA3/CLCN4/GABRA2/CALM1/CLIC3/CACNA1I/SCNN1G/KCNJ6/JPH3/SCNN1B/HCN2/KCNA6/KCNN2/KCNH4/ANO1/PIEZO2/KCNA7/P2RX2",77
