"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009986","GO:0009986","cell surface","177/1954","307/5280",3.08386346631827e-14,1.36923537904531e-11,1.13291405236324e-11,"FGF10/CDH19/CR1/RAMP3/IL12RB2/HLA-F/TGFA/STAB2/PROM1/SLAMF1/OTOA/CD28/ITGAD/TLR8/FCGR2B/WNT3A/CTLA4/CLSTN2/TNFRSF14/CD22/TLR2/C5AR1/CDH6/CDH15/ADTRP/NRCAM/WNT5B/KCNJ5/FOLR2/FCER1G/LILRB1/KCNQ3/LPL/HBEGF/LILRB2/HLA-B/IL12RB1/CD163L1/RTN4RL1/PKD1L3/IL1RL1/HLA-A/ICAM1/FGFBP1/CTSG/MICB/CD163/PECAM1/TLR4/TSPAN33/TNFSF18/CCR9/ALPP/IGSF21/WNT2/ITGB2/FAS/CD36/SCUBE2/CD86/ITGAM/CD44/CD14/FCRL6/NOD2/CD4/AREG/ITGBL1/TYROBP/PTPRC/HCST/AOC3/CD200R1/LPAR1/GFRA2/HLA-DPA1/PLA2G5/CD33/ASTN1/CD93/KCNH2/CD74/DCSTAMP/CD34/SIGLEC11/NRROS/ANTXR1/HLA-DMA/MBP/HLA-DRA/ADGRE1/CUBN/HLA-DPB1/ACE/HAVCR2/MRC1/PTPRT/HLA-DRB1/ANTXR2/ITGAX/LAYN/CD226/P2RY12/TNFRSF10A/MMP7/LRP6/ITGAL/P2RY1/CCR10/PKD2L1/TGFB3/DSCAML1/ENPP1/IL6ST/CD40/IL2RG/EGFL7/CD209/SRPX2/FCER2/IL15/SDC2/PDGFRB/LAG3/RAMP2/TNFRSF11A/PPFIA4/PDGFC/BST2/ADGRA2/F3/CCR5/NOTCH2/IQGAP2/CD200/ERP44/PRND/PDIA3/TPBG/CALR/SCARB1/ACHE/CXCL12/NT5E/SCNN1G/TSPAN32/TGFB1/INSR/TDGF1/SCNN1B/HSPA5/L1CAM/CX3CL1/CD63/SDC1/ABCC2/ITGB3/DMBT1/KCNN2/ABCB1/TNR/EBI3/TF/TFR2/ENG/SELL/PROCR/LY6D/TFPI/EPCAM/TREML2/LTF/ITGA8/CDH2/CCR7/CCRL2/LBP",177
"GO:0031012","GO:0031012","extracellular matrix","107/1954","177/5280",1.0577995955476e-10,2.34831510211566e-08,1.94301083603216e-08,"FGF10/ELN/CLEC3B/LEFTY2/MMP1/ABI3BP/COL6A5/SPARCL1/PODNL1/FLG/C1QA/WNT5B/MMP28/ADAMTS2/C1QB/VWF/F13A1/LRIG1/ADAMTS8/RTN4RL1/PTPRZ1/ICAM1/A2M/CTSG/RARRES2/CTSS/C1QC/ECM2/FBLN5/MMP9/MATN2/MMRN2/COMP/WNT2/TNXB/COL4A3/COL5A3/NTN4/NDNF/CD180/PODN/APOE/CCDC80/MYOC/SOD3/EMID1/CPN2/CDON/PRG2/CHI3L1/LAMB3/KNG1/FBN1/COL4A4/MXRA5/LAMA2/SERPINA1/MMP7/MXRA7/MEPE/LAMC3/SBSPON/TGFB3/AEBP1/MMP17/VTN/EGFL7/IGFBP7/LTBP2/SDC2/ADAMTS5/CASK/DCN/SMOC2/F3/LTBP4/COL11A1/EMILIN2/HSP90B1/HTRA1/COL20A1/ELFN1/WISP1/LMAN1/CALR/ZP1/ACHE/MATN4/TGFB1/TGM2/COL9A1/L1CAM/GPC2/DMBT1/CLC/NOV/EMILIN3/TNR/COL23A1/CCBE1/LOX/ZG16/LAMA1/CDH2/ANG/RELN/ALPL",107
"GO:0098797","GO:0098797","plasma membrane protein complex","122/1954","218/5280",4.93058030229205e-09,7.29725884739223e-07,6.03779833508746e-07,"SCN1A/CDH19/RAMP3/HLA-F/LRRC38/ITGAD/GRIA4/GLRB/KCNMA1/SCN1B/CACNA2D4/WNT3A/HLA-DMB/C5/KCNA4/ABCC8/CACNB4/SCN9A/SCN2A/TLR2/CDH6/CACNA1H/KCNMB1/CDH15/ATP6V0D2/GNAL/KCNJ5/FCER1G/C7/KCNQ3/KCNJ16/ATP12A/TLR1/GRIK2/HLA-B/SCN7A/IL12RB1/IGF1/NCF2/HLA-A/TLR6/SNTB1/KCNJ2/LRRC55/SYK/SCN11A/GNA14/GRIN2C/KCNAB1/ITGB2/FAS/GNA15/ITGAM/CD4/ITGBL1/KCNIP3/HLA-DQA1/HLA-DPA1/CYBB/KCNQ1/HLA-DOA/KCNAB2/GJA4/KCNH2/CD74/HLA-DMA/SCN4B/HLA-DRA/CUBN/KCNS2/HLA-DPB1/PDE4B/ABCC9/GJC1/GJA3/KCNA3/CACNA2D2/HLA-DRB1/ZAP70/ITGAX/CATSPERE/LRP6/ITGAL/NOS1AP/FXYD2/CACNA1C/IRS1/VTN/IL6ST/CD40/GABBR1/ITGA9/NOXA1/CACNB1/RAMP2/LIN7A/GJC2/HLA-DQA2/CASP10/KCNQ4/KCNIP4/ATP1B2/CACNA1I/TSPAN32/KCNJ6/INSR/HCN2/ITGB3/SHANK1/KCNA6/GNGT1/EBI3/TF/TFR2/C8G/KCNH4/ITGA8/CDH2/KCNA7/INHA/PORCN/NCF1",122
"GO:0009897","GO:0009897","external side of plasma membrane","69/1954","109/5280",1.67649517346713e-08,1.86090964254851e-06,1.53972846194744e-06,"IL12RB2/STAB2/CD28/TLR8/FCGR2B/CTLA4/TNFRSF14/NRCAM/KCNJ5/FOLR2/FCER1G/LILRB1/IL12RB1/CD163L1/RTN4RL1/IL1RL1/ICAM1/CD163/PECAM1/TLR4/CCR9/IGSF21/WNT2/ITGB2/CD36/CD86/ITGAM/CD14/FCRL6/CD4/PTPRC/CD200R1/GFRA2/CD33/ASTN1/CD74/CD34/ANTXR1/ADGRE1/CUBN/ACE/ANTXR2/CD226/P2RY12/CCR10/IL6ST/CD40/IL2RG/CD209/FCER2/LAG3/TNFRSF11A/F3/CCR5/PRND/CALR/CXCL12/SCNN1G/INSR/SCNN1B/SDC1/DMBT1/EBI3/TF/TFR2/ENG/SELL/CCR7/CCRL2",69
"GO:0034703","GO:0034703","cation channel complex","57/1954","86/5280",2.73351686579285e-08,2.42736297682405e-06,2.00841554981411e-06,"SCN1A/LRRC38/GRIA4/KCNMA1/SCN1B/CACNA2D4/KCNA4/ABCC8/CACNB4/SCN9A/SCN2A/CACNA1H/KCNMB1/KCNJ5/KCNQ3/KCNJ16/GRIK2/SCN7A/PKD1L3/KCNJ2/LRRC55/SCN11A/RYR2/TRPC6/GRIN2C/KCNAB1/KCNIP3/KCNQ1/KCNAB2/KCNH2/SCN4B/KCNS2/PDE4B/ABCC9/KCNA3/CACNA2D2/CATSPERE/NOS1AP/PKD2L1/CACNA1C/CACNB1/CNGB1/KCNQ4/KCNIP4/CALM1/CACNA1I/HERPUD1/SCNN1G/KCNJ6/SCNN1B/HCN2/SHANK1/KCNA6/KCNH4/TRPC5/KCNA7/PORCN",57
"GO:0062023","GO:0062023","collagen-containing extracellular matrix","76/1954","127/5280",1.05544463596777e-07,7.81029030616149e-06,6.46228382373248e-06,"ELN/CLEC3B/ABI3BP/COL6A5/SPARCL1/FLG/C1QA/MMP28/ADAMTS2/C1QB/VWF/F13A1/ADAMTS8/PTPRZ1/ICAM1/A2M/CTSG/CTSS/C1QC/ECM2/FBLN5/MMP9/MATN2/MMRN2/COMP/TNXB/COL4A3/COL5A3/NTN4/PODN/APOE/CCDC80/SOD3/CDON/PRG2/LAMB3/KNG1/FBN1/COL4A4/MXRA5/LAMA2/SERPINA1/MXRA7/LAMC3/SBSPON/TGFB3/AEBP1/VTN/EGFL7/IGFBP7/LTBP2/SDC2/ADAMTS5/CASK/DCN/SMOC2/F3/LTBP4/COL11A1/EMILIN2/HTRA1/COL20A1/LMAN1/CALR/ACHE/TGFB1/TGM2/L1CAM/GPC2/CLC/NOV/EMILIN3/TNR/LAMA1/CDH2/ANG",76
"GO:0034702","GO:0034702","ion channel complex","66/1954","108/5280",2.44544632195757e-07,1.55111166707023e-05,1.28339964866645e-05,"SCN1A/LRRC38/GRIA4/GLRB/KCNMA1/SCN1B/CACNA2D4/KCNA4/ABCC8/CACNB4/SCN9A/SCN2A/CACNA1H/KCNMB1/KCNJ5/KCNQ3/KCNJ16/GRIK2/SCN7A/PKD1L3/KCNJ2/LRRC55/SCN11A/RYR2/TRPC6/GRIN2C/KCNAB1/GABRA4/TTYH2/KCNIP3/KCNQ1/KCNAB2/KCNH2/BEST1/SCN4B/CUBN/KCNS2/PDE4B/ABCC9/CLIC2/KCNA3/CACNA2D2/CATSPERE/NOS1AP/PKD2L1/CACNA1C/CACNB1/CNGB1/KCNQ4/KCNIP4/GABRA2/CALM1/CLIC3/CACNA1I/HERPUD1/SCNN1G/KCNJ6/SCNN1B/HCN2/SHANK1/KCNA6/KCNH4/ANO1/TRPC5/KCNA7/PORCN",66
"GO:1902495","GO:1902495","transmembrane transporter complex","69/1954","117/5280",8.86909975721273e-07,4.92235036525307e-05,4.0727839674569e-05,"SCN1A/LRRC38/GRIA4/GLRB/KCNMA1/SCN1B/CACNA2D4/KCNA4/ABCC8/CACNB4/SCN9A/SCN2A/CACNA1H/KCNMB1/KCNJ5/KCNQ3/KCNJ16/ATP12A/GRIK2/SCN7A/PKD1L3/KCNJ2/LRRC55/SCN11A/RYR2/TRPC6/GRIN2C/KCNAB1/GABRA4/TTYH2/KCNIP3/KCNQ1/KCNAB2/KCNH2/BEST1/SCN4B/CUBN/KCNS2/PDE4B/ABCC9/CLIC2/KCNA3/CACNA2D2/CATSPERE/NOS1AP/FXYD2/PKD2L1/CACNA1C/CACNB1/CNGB1/KCNQ4/KCNIP4/ATP1B2/GABRA2/CALM1/CLIC3/CACNA1I/HERPUD1/SCNN1G/KCNJ6/SCNN1B/HCN2/SHANK1/KCNA6/KCNH4/ANO1/TRPC5/KCNA7/PORCN",69
"GO:1990351","GO:1990351","transporter complex","69/1954","120/5280",3.18414847717371e-06,0.000157084658207236,0.000129972844272939,"SCN1A/LRRC38/GRIA4/GLRB/KCNMA1/SCN1B/CACNA2D4/KCNA4/ABCC8/CACNB4/SCN9A/SCN2A/CACNA1H/KCNMB1/KCNJ5/KCNQ3/KCNJ16/ATP12A/GRIK2/SCN7A/PKD1L3/KCNJ2/LRRC55/SCN11A/RYR2/TRPC6/GRIN2C/KCNAB1/GABRA4/TTYH2/KCNIP3/KCNQ1/KCNAB2/KCNH2/BEST1/SCN4B/CUBN/KCNS2/PDE4B/ABCC9/CLIC2/KCNA3/CACNA2D2/CATSPERE/NOS1AP/FXYD2/PKD2L1/CACNA1C/CACNB1/CNGB1/KCNQ4/KCNIP4/ATP1B2/GABRA2/CALM1/CLIC3/CACNA1I/HERPUD1/SCNN1G/KCNJ6/SCNN1B/HCN2/SHANK1/KCNA6/KCNH4/ANO1/TRPC5/KCNA7/PORCN",69
"GO:0098552","GO:0098552","side of membrane","97/1954","184/5280",7.22439594580882e-06,0.000314736845101569,0.0002604152653875,"IL12RB2/HLA-F/STAB2/CD28/TLR8/FCGR2B/CTLA4/TNFRSF14/CACNB4/GNAL/NRCAM/KCNJ5/FOLR2/FCER1G/LILRB1/HLA-B/IL12RB1/CD163L1/RTN4RL1/IL1RL1/HLA-A/ICAM1/RGS1/CD163/PECAM1/TLR4/GNA14/CCR9/LRRK2/IGSF21/WNT2/KCNAB1/ITGB2/GNA15/CD36/CD86/ITGAM/CD14/DTNA/FCRL6/CD4/HCK/PTPRC/CD200R1/HLA-DQA1/GFRA2/HLA-DPA1/CD33/ASTN1/KCNAB2/CD74/CD34/ANTXR1/HLA-DRA/ADGRE1/CUBN/HLA-DPB1/ACE/HLA-DRB1/ANTXR2/CD226/P2RY12/CCR10/IL6ST/CD40/IL2RG/CD209/FCER2/RASAL3/LAG3/HLA-DQA2/TNFRSF11A/FGR/F3/PTK6/RASA3/CCR5/PRND/CALR/CXCL12/SCNN1G/INSR/SCNN1B/SDC1/DMBT1/GNGT1/GEM/EBI3/TF/TFR2/SRMS/ENG/SELL/SPTA1/CCR7/ANK1/CCRL2",97
