"","ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","external_gene_name","entrezgene_id","description"
"8574","ENSG00000144285",127.719590960976,5.21061379075663,0.390003271319125,11.9180640839026,9.52971944358502e-33,3.28277657677185e-29,"SCN1A",6323,"sodium voltage-gated channel alpha subunit 1"
"1104","ENSG00000070193",64.741268703364,4.69855028372231,0.376209031595206,11.1073193154823,1.15577172268012e-28,1.70630431991674e-25,"FGF10",2255,"fibroblast growth factor 10"
"1170","ENSG00000071991",88.1868478600031,4.02104234252434,0.366742262631168,10.6285867175393,2.19412146299964e-26,2.00071610933465e-23,"CDH19",28513,"cadherin 19"
"33031","ENSG00000235531",128.380645965341,3.97480994765631,0.316019312557999,12.3633247148398,4.1272648018997e-35,1.82796558076138e-31,"MSC-AS1",NA,"MSC antisense RNA 1"
"114","ENSG00000005981",145.437641465308,3.96534386349991,0.351117732458789,11.0933215306307,1.35173576363577e-28,1.82208103826085e-25,"ASB4",51666,"ankyrin repeat and SOCS box containing 4"
"19708","ENSG00000203710",345.494606227827,3.87490308087869,0.259299034886777,14.8617270227921,5.84000469745915e-50,9.0528832817663e-46,"CR1",1378,"complement C3b/C4b receptor 1 (Knops blood group)"
"14612","ENSG00000178860",292.807523445685,3.82436308509253,0.356190861974033,10.6564564560464,1.62678070468262e-26,1.57609631835235e-23,"MSC",9242,"musculin"
"28605","ENSG00000229056",103.696909312325,3.6750628903266,0.340949109925753,10.5865794187968,3.43930806027701e-26,2.88554248660215e-23,"HECW2-AS1",NA,"HECW2 antisense RNA 1"
"15562","ENSG00000183549",35.6342188817813,3.61962817684656,0.415192096186631,8.1720039110359,3.03308698753748e-16,4.94919978287498e-14,"ACSM5",54988,"acyl-CoA synthetase medium chain family member 5"
"9780","ENSG00000154262",61.6007070142226,3.52870522254734,0.290760682302506,11.8502630224875,2.14516439797702e-32,6.65065318304816e-29,"ABCA6",23460,"ATP binding cassette subfamily A member 6"
"6946","ENSG00000134548",144.348965697112,3.52372261967799,0.389770465575801,8.95214343064278,3.48645550644557e-19,1.03933250063781e-16,"SPX",80763,"spexin hormone"
"14669","ENSG00000179097",11.7394458439647,3.51328603596505,0.397195804027681,7.24324440062466,4.38076439410664e-13,3.3954209627622e-11,"HTR1F",3355,"5-hydroxytryptamine receptor 1F"
