,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,category
GO:0007186,GO:0007186,G protein-coupled receptor signaling pathway,207/2052,336/6295,3.35077027545199e-29,1.3922450494503e-25,1.01122719786535e-25,HTR1F/HCRTR2/RAMP3/CCL13/ADCY2/GPR12/PENK/CCL8/GLRB/ACKR1/PDE2A/GPR85/PDE3B/C5AR2/C5/PREX2/P2RY14/LPAR5/PDE3A/CXCL16/C5AR1/CCL2/PTGFR/CMKLR1/ADRA2A/PIK3R6/ADGRB1/PIK3CG/OR10J3/C3AR1/HTR2B/PDE8B/CCL4/CCL18/CXCL1/FPR3/GNAL/EDN1/DGKE/GPR84/FPR1/MRAP/GPR34/ATRNL1/RGS1/AKR1C3/GNA14/GABRA4/LRRK2/DGKH/RGS20/GPR65/CCL3L3/CCL3L1/AREG/F2RL3/GNA15/PLEK/MARCO/DRD1/ADGRD1/ADORA3/RPH3AL/PIK3R5/PTGER2/RGS18/LPAR1/ARHGEF6/SSTR1/APOE/PTGER4/GPR162/CCR9/ADGRE1/CCL3/RGS11/RASGRP4/PLCB4/PLCB2/GPR4/DGKG/PRKACB/ADGRL2/KNG1/LPAR6/PTGIR/PLCL1/GPER1/MRGPRF/FPR2/CYSLTR1/UTS2B/ADCY4/ADGRB2/ARRB2/PDE4B/HRH2/ADCY3/GPR27/OR51B4/GPR153/BICD1/P2RY12/TAC3/FFAR1/GPR183/P2RY8/TBXA2R/CYSLTR2/OR51E2/CXCL13/NXPH4/FGD2/CCR10/P2RY1/OXER1/PTH2R/RGS5/CXCL10/P2RY13/APLNR/GPR68/PPBP/OR8A1/AKR1C2/PTAFR/PDE6B/GABBR1/SLC12A2/ADRA2B/RAC2/TAS1R3/ADRA1B/PDE7B/BECN2/RAMP2/CCL4L1/PDGFRB/AGTR1/HTR1B/ADRB2/OR3A1/GPR88/PDE6G/GABRB1/EDNRA/S1PR4/RGS19/PLCB1/CCL7/APOA1/HTR7/CXCR4/GPR135/PDE4A/PF4/CX3CR1/RGS9/GLRA2/VAV1/DAGLA/ADGRA2/C3/NMBR/EDN2/LPAR3/ADORA2A/CALM1/HTR4/NSG2/CX3CL1/RHO/GALR3/SAA1/KISS1R/OR10A3/CCL28/KISS1/NMT2/INSR/TGM2/CRH/ADCY5/CHRM4/GNGT1/EREG/RGS16/OBSCN/MTNR1B/GUCA1A/CCL5/HTR1D/GPR160/BHLHA15/FSHR/TACR3/OR2T8/ANO1/DRD2/GPR32/GPRC5C/ADGRL3/CCR7/LHB/CCRL2/F2RL2/CGA,207,BP
GO:0006954,GO:0006954,inflammatory response,198/2052,345/6295,1.7505481527102e-22,3.63676378725544e-19,2.64148502832639e-19,CR1/CCL13/C4BPB/IDO1/CD28/CCL8/TLR8/ACKR1/FCGR2B/MAPT/PDE2A/C5AR2/C5/IL18/SCN9A/APOD/CFI/C1QA/HAMP/TLR2/C5AR1/FOLR2/CCL2/PTGFR/C7/CMKLR1/TLR7/VNN1/FCER1G/PIK3CG/C1QB/C2/C3AR1/CRP/CCL4/CCL18/C1R/CXCL1/FPR3/TLR1/LPL/IL33/TLR6/PF4V1/LY86/IL10/APOL3/A2M/FPR1/RARRES2/SYK/C1QC/IL1RL1/CFHR1/ICAM1/CD163/TLR4/SIGLEC1/SPP1/LRRK2/TNFAIP8L2/CCL3L3/CCL3L1/NFAM1/MMP9/PLA2G7/FABP4/AFAP1L2/HYAL1/ITGB2/CD44/TMIGD3/NOD2/PSTPIP1/THEMIS2/ADORA3/CD14/ITGAM/CSF1/IGFBP4/PTPRC/HCK/CD200R1/PTGER2/AIF1/AOC3/CD180/CYBB/LGALS9/NRROS/PLA2G5/APOE/PTGER4/CCL3/LYZ/IFI16/BMP6/CHI3L1/HAVCR2/CAMK1D/KNG1/NLRP1/PTGIR/REG3G/GPER1/OSM/FPR2/CYSLTR1/TMSB4X/NLRP3/PROS1/SERPINA1/TBXA2R/LY75/PIK3CD/AIM2/PLA2G2A/WFDC1/CIITA/GBP5/STAB1/ITGAL/CXCL13/MIR126/HGF/VTN/CPN2/SUSD4/CD40/RASGRP1/IL18R1/CXCL10/LY96/GPSM3/GPR68/PPBP/SIGLEC10/CLEC7A/CD5L/C1S/PTAFR/IL15/F12/EPHX2/IL6ST/TNFRSF11A/CCL4L1/AGTR1/MMP8/FOXF1/ODAM/F3/CCL7/APOA1/CXCR4/NFATC4/PF4/TEK/IL6/BMPR1B/THBS1/C3/IRAK2/ADORA2A/EPO/CEBPA/CD200/CYP19A1/CDO1/CX3CL1/SAA1/BCL6/TICAM2/PRKCZ/RIPK2/SLC7A2/NT5E/GBA/TGM2/TGFB1/CRH/SDC1/NLRP9/CCL5/TFR2/NOV/C8G/GPR32/IL27/CCR7/CCRL2/TREM1/CD96/NLRP10/APOA2/LBP/LEP/SMPDL3B,198,BP
GO:0010469,GO:0010469,regulation of signaling receptor activity,138/2052,218/6295,3.20066253725386e-21,4.4329176140966e-18,3.21975420852871e-18,FGF10/SPX/WNT10A/LEFTY2/RAMP3/CCL13/FGF7/TGFA/PENK/CCL8/ARC/FCGR2B/MAPT/BMP5/IL18/TNFSF13B/WNT3A/LYPD6/TNFSF9/CXCL16/HAMP/CCL2/FGF14/ADRA2A/FGF13/CCL4/CCL18/TNFSF8/CXCL1/HBEGF/LEFTY1/EDN1/IGF1/KL/GDNF/IL33/NBL1/PF4V1/IL10/KITLG/IL16/TNFSF18/GSG1L/ADA2/SPP1/CCL3L3/CCL3L1/GUCA2A/AREG/SECTM1/WNT2/CSF1/VEGFC/GAS6/FGF9/CCL3/TTR/BMP6/CKLF/MEF2C/HEYL/OSM/UTS2B/GMFG/BICD1/GDF7/GDF6/ERFE/TNFSF14/CXCL13/HGF/FBN1/P2RY1/CXCL10/BTC/KCNK3/PPBP/IL15/TNFSF12/TGFB3/ADRA2B/TNFSF15/CSHL1/CDC42EP2/CCL4L1/JAG1/WNT9B/ADRB2/IL24/PDGFC/STC1/CSH1/CCL7/HDGFL3/WNT4/PF4/RGS9/IL6/EDN2/GPNMB/EPO/CBLB/CX3CL1/FAM3B/NPPB/TDGF1/CCL28/GREM2/TGFB1/CRH/MANF/NEURL1/WNT1/SHANK1/EREG/CCL5/RLN1/NOV/EBI3/WNT10B/PSCA/NTF4/INSL4/INHBA/IL27/CGB1/LHB/CD320/GDF15/CGB7/CGB3/C17orf99/INHA/CGA/CGB2/NCF1/LEP/RELN,138,BP
GO:0050900,GO:0050900,leukocyte migration,136/2052,216/6295,1.29524531882297e-20,1.34543607492736e-17,9.77228507648804e-18,MCOLN2/CCL13/MMP1/CH25H/CCL8/BMP5/C5AR2/C5/CD84/TNFRSF14/APOD/CXCL16/ADTRP/MMP28/C5AR1/CCL2/MAG/CMKLR1/FCER1G/PIK3CG/C3AR1/CCL4/CCL18/CXCL1/EDN1/DOK2/IL33/NBL1/PF4V1/IL10/RARRES2/SYK/KITLG/IL16/ICAM1/TNFSF18/PECAM1/CCL3L3/CCL3L1/MMP9/PLA2G7/JAM2/ITGB2/CD44/ITGAM/NCKAP1L/CSF1/HCK/VEGFC/CD200R1/GAS6/AIF1/LGALS9/PTPRO/RIPK3/CD74/SLC7A7/PTGER4/DBH/CCL3/CD34/CAMK1D/CKLF/FPR2/PDE4B/PROS1/P2RY12/ZAP70/GPR183/TNFSF14/TRPM2/PIK3CD/ITGAX/CD300A/ITGAL/CXCL13/GRB14/TNFRSF10A/CXCL10/GPSM3/PPBP/PTAFR/SLC12A2/CD48/RAC2/SELPLG/SDC2/TBX21/TNFRSF11A/CCL4L1/MYO1G/ITGA9/SFTPD/PLCB1/CCL7/CXCR4/PF4/CX3CR1/TEK/SLIT2/IL6/VAV1/PLVAP/THBS1/ANGPT2/EDN2/SLC3A2/GCNT1/CD200/CYP19A1/CX3CL1/SAA1/FLT1/CEACAM6/CCL28/CEACAM8/L1CAM/CALR/TGFB1/SLC7A5/SDC1/ITGB3/SLC16A3/CCL5/NOV/SELL/RIPOR2/EPCAM/PSG1/CCR7/ADD2/GYPB/GYPA/TREM1/LBP/LEP,136,BP
GO:0002684,GO:0002684,positive regulation of immune system process,231/2052,434/6295,3.01262826741512e-20,2.50349409022196e-17,1.81835899845877e-17,FGF10/CR1/ZBTB16/SLAMF6/C4BPB/IDO1/HLA-F/CD28/CCL8/TLR8/FCGR2B/C5AR2/CTLA4/C5/HLA-DMB/IL18/CD84/TNFSF13B/TNFRSF14/WNT3A/CFI/C1QA/TNFSF9/CD22/TLR2/C5AR1/CCL2/FCGR2A/C7/CMKLR1/PIK3R6/TLR7/VNN1/FCER1G/KLHL6/C1QB/C2/C3AR1/CRP/CCL4/C1R/LILRB1/CD300LF/LILRB4/FPR3/RGCC/TLR1/EDN1/IGF1/HLA-A/IL33/CTSG/TLR6/IL10/LILRB2/MICB/A2M/IL12RB1/FCGR1A/HLA-B/FPR1/RARRES2/SYK/CLEC4A/C1QC/IL1RL1/KITLG/CFD/CTSS/VSIG4/CFHR1/HLA-DQA1/ICAM1/TNFSF18/TLR4/CD36/LRRK2/NFAM1/PLA2G7/LCP2/ITGB2/CD86/NOD2/MARCO/THEMIS2/CD14/ITGAM/NCKAP1L/CSF1/PTPRC/HCK/CD4/FOXC1/VEGFC/HLA-DPA1/RFTN1/GAS6/AIF1/LGALS9/CD74/PRKCB/EVI2B/CCL3/WAS/IFI16/HLA-DPB1/IGFBP2/HAVCR2/CAMK1D/PRKACB/HLA-DRA/BMX/SLA2/MEF2C/REG3G/FPR2/CGAS/RAET1E/LEF1/ARRB2/NLRP3/PDE4B/EFNB2/HLA-DRB1/SASH3/PROS1/C1RL/TREM2/P2RY12/DCSTAMP/ZAP70/GPR183/TMEM173/TNFSF14/PIK3CD/NFATC2/AIM2/GBP5/CD300A/MYB/CD226/RNF125/MNDA/FCN3/CXCL13/HLA-DRB5/VTN/CPN2/SUSD4/CD40/RASGRP1/IL18R1/CXCL10/LY96/CADM1/TOX/GPSM3/GPR68/CLEC7A/C1S/JAK3/PTAFR/IL15/FCER2/IL6ST/RASAL3/RAC2/ARG1/CD209/LAG3/TBX21/MYO1G/CD38/JAG1/HMSD/MMP8/FOXF1/RHEX/SFTPD/HLX/FGR/CCL7/ITPKB/TESPA1/ICAM2/CD83/PF4/HLA-DQB1/IL27RA/CD1D/LAT2/IL6/VAV1/PLVAP/THBS1/C3/SH2B2/IRAK2/EDN2/EPO/MUC20/CEBPA/GAB2/MZB1/BTNL10/HSP90B1/BCL6/TICAM2/PRKCZ/RIPK2/CALR/TGFB1/EREG/GRAP2/CCL5/EBI3/GATA1/C8G/RIPOR2/LTF/GPR32/INHBA/SPTA1/CCR7/TREML4/CD320/C17orf99/NLRP10/LBP/LEP/SMPDL3B,231,BP
GO:0032101,GO:0032101,regulation of response to external stimulus,198/2052,372/6295,2.0449111981039e-17,1.41610100468695e-14,1.02855445701121e-14,FGF10/CR1/SPX/C4BPB/IDO1/PDPN/CD28/PLXNA4/FCGR2B/PDE2A/C5AR2/C5/IL18/WNT3A/SPAAR/APOD/ABCC8/CFI/C1QA/ADTRP/TLR2/MMP28/C5AR1/CCL2/C7/CMKLR1/TLR7/FCER1G/PIK3CG/C1QB/C2/C3AR1/CCL4/CCL18/C1R/LILRB1/MYOD1/EDN1/LPL/IL33/NBL1/TLR6/LY86/IL10/MICB/A2M/IL12RB1/RARRES2/SYK/RTN4RL1/C1QC/IL1RL1/CFHR1/IL16/SYT11/TLR4/SPP1/CD36/LRRK2/TNFAIP8L2/CCL3L3/CCL3L1/MMP9/PLA2G7/FABP4/ITGB2/NOD2/PLEK/DRD1/ITGAM/SEMA3C/NCKAP1L/CSF1/PTPRC/HCK/VEGFC/CD200R1/GAS6/AIF1/SEMA3A/LPAR1/CD180/LGALS9/PTPRO/PLA2G5/SIGLEC11/CD74/APOE/PTGER4/CCL3/BMP6/SEMA6B/HAVCR2/CD34/CAMK1D/KNG1/NLRP1/GPER1/OSM/FPR2/PRKG1/CGAS/ZSWIM6/TMSB4X/NLRP3/SEMA3E/EFNB2/PROS1/P2RY12/GPR183/TMEM173/TBXA2R/ADAMTS18/TNFSF14/AIM2/PLA2G2A/WFDC1/GBP5/RNF125/CXCL13/MIR126/HGF/VTN/CPN2/SUSD4/CXCL10/LY96/GPSM3/SIGLEC10/C1S/IL15/SEMA3G/PDE6B/F12/CASK/IL6ST/RAC2/ARG1/SMOC2/TNFRSF11A/PDGFRB/AGTR1/MMP8/PDE6G/ENPP4/FOXF1/F3/CCL7/APOA1/SIGLEC16/CXCR4/WNT4/SEMA6D/TEK/SLIT2/IL6/DSCAM/ADGRA2/THBS1/C3/ANGPT2/EDN2/ADORA2A/CEBPA/THBD/CD200/CALM1/CYP19A1/CX3CL1/RHO/SAA1/BCL6/TSPAN32/RIPK2/SLC7A2/HTRA1/NT5E/NMT2/GBA/TGM2/CALR/TGFB1/NOS3/GUCA1A/TNR/CCL5/NOV/C8G/RIPOR2/LTF/DRD2/TFPI/IL27/CCR7/NLRP10/LBP/LEP/SMPDL3B,198,BP
GO:0050776,GO:0050776,regulation of immune response,211/2052,405/6295,3.99431439189653e-17,2.37091089976144e-14,1.72206005437103e-14,CR1/SLAMF6/C4BPB/IDO1/HLA-F/CD28/TLR8/FCGR2B/C5AR2/CTLA4/C5/HLA-DMB/IL18/CD84/TNFSF13B/TNFRSF14/CFI/CD300LG/C1QA/CD22/TLR2/C5AR1/FCGR2A/C7/CMKLR1/PIK3R6/TLR7/LAIR1/FCER1G/KLHL6/C1QB/C2/C3AR1/CRP/C1R/LILRB1/CD300LF/LILRB4/SIGLEC7/FPR3/RGCC/TLR1/HLA-A/IL33/CTSG/TLR6/IL10/LILRB2/MICB/A2M/IL12RB1/FCGR1A/HLA-B/FPR1/SYK/CLEC4A/CLEC2B/C1QC/SIGLEC9/IL1RL1/CFD/CTSS/VSIG4/CFHR1/HLA-DQA1/ICAM1/TLR4/CD300C/CD36/NCR1/NFAM1/LCP2/ITGB2/CD86/NOD2/TYROBP/HCST/MARCO/THEMIS2/CD14/ITGAM/NCKAP1L/PTPRC/HCK/CD300LB/CD33/CD4/CD200R1/HLA-DPA1/RFTN1/FCGR1B/LGALS9/RIPK3/CD74/PRKCB/WAS/IFI16/HLA-DPB1/HAVCR2/CD34/PRKACB/HLA-DRA/BMX/SLA2/MEF2C/REG3G/FPR2/CGAS/RAET1E/ARRB2/NLRP3/PDE4B/SAMSN1/HLA-DRB1/SASH3/PROS1/C1RL/TREM2/ZAP70/TMEM173/PIK3CD/NFATC2/AIM2/NPDC1/GBP5/CD300A/MYB/CD226/RNF125/ITGAL/MNDA/FCN3/CXCL13/HLA-DRB5/VTN/CPN2/SUSD4/SLAMF7/CD40/RASGRP1/IL18R1/LY96/CADM1/CLEC7A/C1S/JAK3/PTAFR/IL15/FCER2/IL6ST/TGFB3/CD48/RAC2/ARG1/CD209/LAG3/TBX21/MYO1G/CD38/HMSD/FOXF1/BST2/SFTPD/HLX/FGR/APOA1/TESPA1/ICAM2/HLA-DQB1/IL27RA/CD1D/LAT2/IL6/VAV1/PILRA/C3/SH2B2/IRAK2/MUC20/CD200/GAB2/CALM1/BTNL10/HSP90B1/BCL6/TICAM2/PRKCZ/RIPK2/NCR3LG1/TGFB1/EREG/GRAP2/CCL5/CLC/SELL/C8G/LTF/DRD2/GPR32/TREML2/IL27/CCR7/TREML4/TREM1/CD96/C17orf99/NLRP10/APOA2/LBP/LEP/SMPDL3B,211,BP
GO:0098609,GO:0098609,cell-cell adhesion,198/2052,376/6295,9.37391020827173e-17,4.86857461442113e-14,3.53618428514672e-14,CDH19/ZBTB16/IDO1/PDPN/ITGAD/NFASC/CD28/SPARCL1/CADM3/FCGR2B/BMP5/CTLA4/HLA-DMB/IL18/CD84/TNFSF13B/TNFRSF14/WNT3A/CDH15/TNFSF9/ADTRP/CLSTN2/CCL2/MAG/PCDHB16/PIK3R6/NRCAM/VNN1/PIK3CG/LILRB1/LILRB4/CDH6/RGCC/IGF1/DTX1/HBB/IL10/LILRB2/IL12RB1/FAT1/SYK/NEXMIF/ICAM1/IGSF21/PCDHGB3/PECAM1/SIGLEC1/TNFAIP8L2/JAM2/LRRC4B/ITGB2/CD44/PCDHB13/CD86/NOD2/PLEK/ITGAM/NCKAP1L/PTPRC/ASTN1/CD4/CD200R1/HLA-DPA1/GAS6/AIF1/CD93/LGALS9/ROBO4/CD74/MBP/CCM2L/HLA-DPB1/IGFBP2/HAVCR2/CD34/PCDH17/PCDHGA12/FERMT3/KIRREL2/PTPRT/NRARP/PCDHB7/PRKG1/LEF1/NLRP3/LRRC4/EFNB2/SASH3/CTNND2/PTPRD/P2RY12/ZAP70/PCDHB12/ADAMTS18/TNFSF14/NPHP1/ITGAX/CD300A/MYB/PCDHGA1/ITGAL/CXCL13/LRP6/PDE5A/MYPN/ROBO3/DSCAML1/RASGRP1/BVES/CADM1/NTNG1/JAK3/PTAFR/IL15/TIGIT/IL6ST/RASAL3/RAC2/SELPLG/ARG1/CD209/LAG3/CNTN4/NTNG2/TBX21/SRPX2/JAG1/PCDH10/FOXF1/PCDHGA6/SFTPD/HLX/ZAN/PKP1/PCDHGB2/PCDHB11/APOA1/ITPKB/NRXN3/TESPA1/ICAM2/CD83/WNT4/PODXL/CD1D/PCDHB14/CX3CR1/IL6/VAV1/DSCAM/PCDHGA2/CDH11/GPNMB/GCNT1/ADORA2A/GTPBP4/EPO/CD200/CX3CL1/CLDN6/NECTIN4/BCL6/TSPAN32/PRKCZ/CEACAM6/RIPK2/CCL28/PCDH1/FSTL3/NT5E/CEACAM8/NECTIN3/L1CAM/TGFB1/WNT1/ITGB3/CLDN14/CYP1B1/TNR/GRAP2/CCL5/NOV/EBI3/GATA1/SELL/MPZL2/CLDN3/RIPOR2/EPCAM/ITGA8/ADGRL3/SPTA1/CCR7/TENM4/ADD2/CDH2/CLDN10/LEP,198,BP
GO:0002250,GO:0002250,adaptive immune response,109/2052,174/6295,1.72438162897662e-16,7.96089518710873e-14,5.78222471377307e-14,CR1/MCOLN2/SLAMF6/C4BPB/HLA-F/SLAMF1/CD28/TLR8/FCGR2B/CTLA4/C5/IL18/CD84/TNFSF13B/CFI/C1QA/C7/LAIR1/FCER1G/KLHL6/PIK3CG/C1QB/C2/CRP/C1R/LILRB1/LILRB4/LILRB5/HLA-A/IL33/IL10/LILRB2/MICB/IL12RB1/HLA-B/SYK/CLEC4A/C1QC/IL1RL1/CTSS/ICAM1/TNFSF18/TLR4/LILRA6/CD86/PTPRC/CD4/RFTN1/FCGR1B/BCL3/RIPK3/CD74/ADGRE1/LILRB3/PRKCB/WAS/HAVCR2/BMX/SLA2/MEF2C/PRF1/RAET1E/LEF1/NLRP3/SAMSN1/SASH3/C1RL/ZAP70/GPR183/PIK3CD/CD226/RNF125/CXCL13/GAPT/SUSD4/BATF/SLAMF7/CD40/IL18R1/SIGLEC10/C1S/JAK3/FCER2/IL6ST/CD48/ARG1/CD209/TBX21/TNFRSF11A/MYO1G/JAG1/HLX/HLA-DQB1/IL27RA/CD1D/LAT2/IL6/C3/BCL6/PRKCZ/RIPK2/TGFB1/CLC/EBI3/C8G/IL27/C17orf99/NLRP10/RORC,109,BP
GO:0043269,GO:0043269,regulation of ion transport,154/2052,277/6295,6.44726417967645e-16,2.67883826665556e-13,1.94571646348762e-13,SCN1A/RAMP3/LRRC38/ARC/CACNA2D4/KCNMA1/KCNA4/SCN1B/CD84/P2RX5/CACNB4/SCN9A/SCN2A/ABCC8/KCNMB1/HAMP/NALCN/CCL2/FGF14/KCNJ5/ADRA2A/PIK3CG/KCNJ16/CCL4/LILRB1/CACNA1H/KCNQ3/EDN1/GDNF/ANK2/LILRB2/SCN7A/RGN/LRRC55/SYK/CTSS/SCN11A/IL16/KCNJ2/ICAM1/SYT11/GSG1L/ATP8A1/KCNAB1/TRPC6/MMP9/F2RL3/DRD1/RYR2/KCNH2/CD4/KCNAB2/KCNQ1/FHL1/KCNIP3/SYT15/CYBB/MYO5A/KCNS2/APOE/SNCG/BEST1/CCL3/SCN4B/MEF2C/KCNK17/GPER1/SYT3/CACNA2D2/KCNIP1/CLIC2/ARRB2/TMSB4X/PDE4B/P2RY12/FFAR1/HECW2/ERFE/KCNA3/JPH4/CEMIP/SLC8A1/SCN3A/FXYD2/P2RY1/CACNA1C/CXCL10/APLNR/RRAD/NOS1AP/PTAFR/ASIC2/CASK/CACNB1/ARG1/GCK/TNFRSF11A/PDGFRB/HTR1B/ADRB2/GJC2/STC1/KCNJ10/SYT6/HCN4/KCNIP4/HVCN1/CACNA2D1/NKX2-5/RGS9/STAC2/KCNQ4/THBS1/CACNA2D3/EHD3/LPAR3/NKAIN1/ADORA2A/EPO/CALM1/CX3CL1/CACNA1I/CLIC3/HCN2/SLN/KCNJ6/JPH3/GLRX/TGFB1/NOS3/KCNA6/CRH/PRSS8/CD63/KCNN2/MRLN/TF/SYT12/SHANK1/MTNR1B/ABCB1/REM2/CCL5/GEM/KCNH4/WNK4/DRD2/SLC38A3/KCNA7/CLDN10/LEP/RELN/P2RX2/SLC30A10,154,BP
