Sample	Top over-represented sequence	Sum of remaining over-represented sequences
ERR315326_1	1.6991190305635555	0.0
ERR315326_2	0.0	0.0
ERR315327_1	0.1206385784683469	0.0
ERR315327_2	0.12388541064513901	0.0
ERR315336_1	0.2182608929098768	0.0
ERR315336_2	0.0	0.0
ERR315353_1	0.4869474469031865	0.0
ERR315353_2	0.0	0.0
ERR315361_1	1.0173026855453748	1.927660490741933
ERR315361_2	0.2889893735874837	1.5396300345940024
ERR315368_1	0.7768488920729381	0.0
ERR315368_2	0.0	0.0
ERR315374_1	0.45287700176607987	0.0
ERR315374_2	0.0	0.0
ERR315377_1	0.456669911588311	0.0
ERR315377_2	0.0	0.0
ERR315386_1	0.7977764653673804	0.0
ERR315386_2	0.0	0.0
ERR315394_1	0.1212601210042149	0.0
ERR315394_2	0.12416367097955934	0.0
ERR315399_1	0.21832985794647333	0.0
ERR315399_2	0.0	0.0
ERR315414_1	0.0	0.0
ERR315414_2	0.0	0.0
ERR315424_1	1.569522312001285	0.0
ERR315424_2	0.0	0.0
ERR315432_1	0.3290197974849851	0.0
ERR315432_2	0.0	0.0
ERR315433_1	0.8142953539069613	0.0
ERR315433_2	0.0	0.0
ERR315438_1	0.8395452980042347	0.0
ERR315438_2	0.0	0.0
ERR315439_1	2.5006890452865562	35.552205112103
ERR315439_2	2.371207444586986	31.72235527222741
ERR315444_1	2.4826870640848666	35.64626977027855
ERR315444_2	2.3570138876061013	31.57513512058081
ERR315451_1	0.38640076864483985	0.0
ERR315451_2	0.0	0.0
ERR315455_1	0.16679168162974836	0.0
ERR315455_2	0.0	0.0
ERR315463_1	0.3753339276185579	0.0
ERR315463_2	0.0	0.0
ERR315476_1	0.27483732880861933	0.0
ERR315476_2	0.0	0.0
ERR315477_1	0.2813924561824069	0.2237284839437365
ERR315477_2	0.29981752681242974	0.0
ERR315478_1	0.27057843125021547	0.0
ERR315478_2	0.0	0.0
ERR315487_1	0.5297077404152609	0.0
ERR315487_2	0.0	0.0
ERR315490_1	1.013689883556278	1.919758739793093
ERR315490_2	0.28302731919418944	1.4185614508276125
ERR315495_1	0.6425450512933977	1.8073022110843873
ERR315495_2	0.2875151037140807	1.3111055574789463
HS002-PE-R00059_BD0U5YACXX.RHM063_CGATGT_L001_R1	0.10300657255741429	0.0
HS002-PE-R00059_BD0U5YACXX.RHM063_CGATGT_L001_R1_val_1	0.0	0.0
HS002-PE-R00059_BD0U5YACXX.RHM063_CGATGT_L001_R2	0.0	0.0
HS002-PE-R00059_BD0U5YACXX.RHM063_CGATGT_L001_R2_val_2	0.0	0.0
HS002-PE-R00059_BD0U5YACXX.RHM064_CAGATC_L001_R1	0.13679773307623622	0.23063925783312378
HS002-PE-R00059_BD0U5YACXX.RHM064_CAGATC_L001_R1_val_1	0.13805274862451067	0.2336148685770843
HS002-PE-R00059_BD0U5YACXX.RHM064_CAGATC_L001_R2	0.1334811744799947	0.23360825522656203
HS002-PE-R00059_BD0U5YACXX.RHM064_CAGATC_L001_R2_val_2	0.13170605482187783	0.23480031425861056
HS002-PE-R00059_BD0U5YACXX.RHM065_GTGAAA_L001_R1	0.0	0.0
HS002-PE-R00059_BD0U5YACXX.RHM065_GTGAAA_L001_R1_val_1	0.0	0.0
HS002-PE-R00059_BD0U5YACXX.RHM065_GTGAAA_L001_R2	0.0	0.0
HS002-PE-R00059_BD0U5YACXX.RHM065_GTGAAA_L001_R2_val_2	0.0	0.0
HS002-PE-R00059_BD0U5YACXX.RHM066_CGATGT_L002_R1	0.1025041744970078	0.0
HS002-PE-R00059_BD0U5YACXX.RHM066_CGATGT_L002_R1_val_1	0.10353859510628155	0.0
HS002-PE-R00059_BD0U5YACXX.RHM066_CGATGT_L002_R2	0.10021543941244242	0.0
HS002-PE-R00059_BD0U5YACXX.RHM066_CGATGT_L002_R2_val_2	0.0	0.0
HS002-PE-R00059_BD0U5YACXX.RHM067_CAGATC_L002_R1	0.18081708021977014	0.1217400869156973
HS002-PE-R00059_BD0U5YACXX.RHM067_CAGATC_L002_R1_val_1	0.0	0.0
HS002-PE-R00059_BD0U5YACXX.RHM067_CAGATC_L002_R2	0.1783630070668008	0.0
HS002-PE-R00059_BD0U5YACXX.RHM067_CAGATC_L002_R2_val_2	0.0	0.0
HS002-PE-R00059_BD0U5YACXX.RHM068_GTGAAA_L002_R1	0.11472716240610137	0.0
HS002-PE-R00059_BD0U5YACXX.RHM068_GTGAAA_L002_R1_val_1	0.0	0.0
HS002-PE-R00059_BD0U5YACXX.RHM068_GTGAAA_L002_R2	0.12478844236170615	0.0
HS002-PE-R00059_BD0U5YACXX.RHM068_GTGAAA_L002_R2_val_2	0.0	0.0
HS002-PE-R00059_BD0U5YACXX.RHM069_CGATGT_L003_R1	0.1389774161698724	0.12731445632838287
HS002-PE-R00059_BD0U5YACXX.RHM069_CGATGT_L003_R1_val_1	0.14037955224705786	0.12888467505589593
HS002-PE-R00059_BD0U5YACXX.RHM069_CGATGT_L003_R2	0.135722510309466	0.1317774991998583
HS002-PE-R00059_BD0U5YACXX.RHM069_CGATGT_L003_R2_val_2	0.13811608943754614	0.13401344627744852
HS002-PE-R00059_BD0U5YACXX.RHM070_CAGATC_L003_R1	0.13794994693968146	0.26498749502576857
HS002-PE-R00059_BD0U5YACXX.RHM070_CAGATC_L003_R1_val_1	0.13837305910240483	0.1306607116041137
HS002-PE-R00059_BD0U5YACXX.RHM070_CAGATC_L003_R2	0.13429620232759512	0.26643700610213084
HS002-PE-R00059_BD0U5YACXX.RHM070_CAGATC_L003_R2_val_2	0.1363505259173691	0.13622382964723587
HS002-PE-R00059_BD0U5YACXX.RHM071_GTGAAA_L003_R1	0.0	0.0
HS002-PE-R00059_BD0U5YACXX.RHM071_GTGAAA_L003_R1_val_1	0.0	0.0
HS002-PE-R00059_BD0U5YACXX.RHM071_GTGAAA_L003_R2	0.10153151886190459	0.0
HS002-PE-R00059_BD0U5YACXX.RHM071_GTGAAA_L003_R2_val_2	0.0	0.0
HS002-PE-R00059_BD0U5YACXX.RHM072_CGATGT_L004_R1	0.16494466711625674	0.0
HS002-PE-R00059_BD0U5YACXX.RHM072_CGATGT_L004_R1_val_1	0.0	0.0
HS002-PE-R00059_BD0U5YACXX.RHM072_CGATGT_L004_R2	0.15253589448079583	0.0
HS002-PE-R00059_BD0U5YACXX.RHM072_CGATGT_L004_R2_val_2	0.0	0.0
HS002-PE-R00059_BD0U5YACXX.RHM073_CAGATC_L004_R1	0.0	0.0
HS002-PE-R00059_BD0U5YACXX.RHM073_CAGATC_L004_R1_val_1	0.0	0.0
HS002-PE-R00059_BD0U5YACXX.RHM073_CAGATC_L004_R2	0.0	0.0
HS002-PE-R00059_BD0U5YACXX.RHM073_CAGATC_L004_R2_val_2	0.0	0.0
HS002-PE-R00059_BD0U5YACXX.RHM074_GTGAAA_L004_R1	0.0	0.0
HS002-PE-R00059_BD0U5YACXX.RHM074_GTGAAA_L004_R1_val_1	0.0	0.0
HS002-PE-R00059_BD0U5YACXX.RHM074_GTGAAA_L004_R2	0.0	0.0
HS002-PE-R00059_BD0U5YACXX.RHM074_GTGAAA_L004_R2_val_2	0.0	0.0
HS002-PE-R00059_BD0U5YACXX.RHM075_CGATGT_L005_R1	0.10903033332666559	0.0
HS002-PE-R00059_BD0U5YACXX.RHM075_CGATGT_L005_R1_val_1	0.0	0.0
HS002-PE-R00059_BD0U5YACXX.RHM075_CGATGT_L005_R2	0.1026604647956002	0.0
HS002-PE-R00059_BD0U5YACXX.RHM075_CGATGT_L005_R2_val_2	0.0	0.0
HS002-PE-R00059_BD0U5YACXX.RHM076_CAGATC_L005_R1	1.056079802964296	0.30326216371116144
HS002-PE-R00059_BD0U5YACXX.RHM076_CAGATC_L005_R1_val_1	0.0	0.0
HS002-PE-R00059_BD0U5YACXX.RHM076_CAGATC_L005_R2	1.0329794044983127	0.0
HS002-PE-R00059_BD0U5YACXX.RHM076_CAGATC_L005_R2_val_2	0.0	0.0
