Sample	Unique Reads	Duplicate Reads
ERR315326_1	5564643.0	3217614.0
ERR315326_2	5951157.0	2831100.0
ERR315327_1	2985070.0	3143981.0
ERR315327_2	3071587.0	3057464.0
ERR315336_1	9490737.0	6898823.0
ERR315336_2	9757492.0	6632068.0
ERR315353_1	7187176.0	6388827.0
ERR315353_2	8220745.0	5355258.0
ERR315361_1	4872115.0	2516738.0
ERR315361_2	5013513.0	2375340.0
ERR315368_1	5954197.0	2730761.0
ERR315368_2	6102851.0	2582107.0
ERR315374_1	8289890.0	6951776.0
ERR315374_2	8511895.0	6729771.0
ERR315377_1	8227135.0	6795313.0
ERR315377_2	8357617.0	6664831.0
ERR315386_1	5224311.0	2268264.0
ERR315386_2	5352174.0	2140401.0
ERR315394_1	2974519.0	3121467.0
ERR315394_2	3039178.0	3056808.0
ERR315399_1	9429820.0	6671505.0
ERR315399_2	9596196.0	6505129.0
ERR315414_1	8885939.0	13925247.0
ERR315414_2	9484478.0	13326708.0
ERR315424_1	5559450.0	3201687.0
ERR315424_2	6288350.0	2472787.0
ERR315432_1	10716954.0	6868310.0
ERR315432_2	11369123.0	6216141.0
ERR315433_1	5973895.0	2762370.0
ERR315433_2	6175584.0	2560681.0
ERR315438_1	5221994.0	2304342.0
ERR315438_2	5380320.0	2146016.0
ERR315439_1	2723912.0	3556517.0
ERR315439_2	2923798.0	3356631.0
ERR315444_1	2767976.0	3620022.0
ERR315444_2	2983026.0	3404972.0
ERR315451_1	6237440.0	8870708.0
ERR315451_2	6441403.0	8666745.0
ERR315455_1	14216930.0	10106825.0
ERR315455_2	14130613.0	10193142.0
ERR315463_1	6343746.0	9027100.0
ERR315463_2	6576237.0	8794609.0
ERR315476_1	8579846.0	6069183.0
ERR315476_2	8708890.0	5940139.0
ERR315477_1	16993197.0	11473451.0
ERR315477_2	17024329.0	11442319.0
ERR315478_1	8661359.0	6244855.0
ERR315478_2	8854987.0	6051227.0
ERR315487_1	7239244.0	6429803.0
ERR315487_2	7566444.0	6102603.0
ERR315490_1	4907481.0	2538090.0
ERR315490_2	5081281.0	2364290.0
ERR315495_1	7849406.0	5235124.0
ERR315495_2	8122194.0	4962336.0
HS002-PE-R00059_BD0U5YACXX.RHM063_CGATGT_L001_R1	21483615.0	30461614.0
HS002-PE-R00059_BD0U5YACXX.RHM063_CGATGT_L001_R1_val_1	21083171.0	29388386.0
HS002-PE-R00059_BD0U5YACXX.RHM063_CGATGT_L001_R2	21626764.0	30318465.0
HS002-PE-R00059_BD0U5YACXX.RHM063_CGATGT_L001_R2_val_2	25174951.0	25296606.0
HS002-PE-R00059_BD0U5YACXX.RHM064_CAGATC_L001_R1	14711903.0	19238952.0
HS002-PE-R00059_BD0U5YACXX.RHM064_CAGATC_L001_R1_val_1	14310796.0	18588223.0
HS002-PE-R00059_BD0U5YACXX.RHM064_CAGATC_L001_R2	15017384.0	18933471.0
HS002-PE-R00059_BD0U5YACXX.RHM064_CAGATC_L001_R2_val_2	16780990.0	16118029.0
HS002-PE-R00059_BD0U5YACXX.RHM065_GTGAAA_L001_R1	27282125.0	42179945.0
HS002-PE-R00059_BD0U5YACXX.RHM065_GTGAAA_L001_R1_val_1	26551523.0	40863469.0
HS002-PE-R00059_BD0U5YACXX.RHM065_GTGAAA_L001_R2	27686867.0	41775203.0
HS002-PE-R00059_BD0U5YACXX.RHM065_GTGAAA_L001_R2_val_2	32179770.0	35235222.0
HS002-PE-R00059_BD0U5YACXX.RHM066_CGATGT_L002_R1	24439115.0	35899891.0
HS002-PE-R00059_BD0U5YACXX.RHM066_CGATGT_L002_R1_val_1	23655252.0	34360795.0
HS002-PE-R00059_BD0U5YACXX.RHM066_CGATGT_L002_R2	24911039.0	35427967.0
HS002-PE-R00059_BD0U5YACXX.RHM066_CGATGT_L002_R2_val_2	38223955.0	19792092.0
HS002-PE-R00059_BD0U5YACXX.RHM067_CAGATC_L002_R1	30514521.0	43688646.0
HS002-PE-R00059_BD0U5YACXX.RHM067_CAGATC_L002_R1_val_1	28975460.0	41177163.0
HS002-PE-R00059_BD0U5YACXX.RHM067_CAGATC_L002_R2	31258001.0	42945166.0
HS002-PE-R00059_BD0U5YACXX.RHM067_CAGATC_L002_R2_val_2	46620758.0	23531865.0
HS002-PE-R00059_BD0U5YACXX.RHM068_GTGAAA_L002_R1	25592719.0	34608369.0
HS002-PE-R00059_BD0U5YACXX.RHM068_GTGAAA_L002_R1_val_1	24689780.0	32854672.0
HS002-PE-R00059_BD0U5YACXX.RHM068_GTGAAA_L002_R2	26277326.0	33923762.0
HS002-PE-R00059_BD0U5YACXX.RHM068_GTGAAA_L002_R2_val_2	39549139.0	17995313.0
HS002-PE-R00059_BD0U5YACXX.RHM069_CGATGT_L003_R1	21203640.0	34005330.0
HS002-PE-R00059_BD0U5YACXX.RHM069_CGATGT_L003_R1_val_1	20539982.0	32962112.0
HS002-PE-R00059_BD0U5YACXX.RHM069_CGATGT_L003_R2	21543725.0	33665245.0
HS002-PE-R00059_BD0U5YACXX.RHM069_CGATGT_L003_R2_val_2	20677398.0	32824696.0
HS002-PE-R00059_BD0U5YACXX.RHM070_CAGATC_L003_R1	18165448.0	26884225.0
HS002-PE-R00059_BD0U5YACXX.RHM070_CAGATC_L003_R1_val_1	17504754.0	25906153.0
HS002-PE-R00059_BD0U5YACXX.RHM070_CAGATC_L003_R2	18508678.0	26540995.0
HS002-PE-R00059_BD0U5YACXX.RHM070_CAGATC_L003_R2_val_2	17632921.0	25777986.0
HS002-PE-R00059_BD0U5YACXX.RHM071_GTGAAA_L003_R1	23981041.0	29669294.0
HS002-PE-R00059_BD0U5YACXX.RHM071_GTGAAA_L003_R1_val_1	23330617.0	28660279.0
HS002-PE-R00059_BD0U5YACXX.RHM071_GTGAAA_L003_R2	24283592.0	29366743.0
HS002-PE-R00059_BD0U5YACXX.RHM071_GTGAAA_L003_R2_val_2	23442649.0	28548247.0
HS002-PE-R00059_BD0U5YACXX.RHM072_CGATGT_L004_R1	28343797.0	35997780.0
HS002-PE-R00059_BD0U5YACXX.RHM072_CGATGT_L004_R1_val_1	27467693.0	34450917.0
HS002-PE-R00059_BD0U5YACXX.RHM072_CGATGT_L004_R2	28921207.0	35420370.0
HS002-PE-R00059_BD0U5YACXX.RHM072_CGATGT_L004_R2_val_2	27739781.0	34178829.0
HS002-PE-R00059_BD0U5YACXX.RHM073_CAGATC_L004_R1	22761587.0	22178857.0
HS002-PE-R00059_BD0U5YACXX.RHM073_CAGATC_L004_R1_val_1	22000660.0	21225763.0
HS002-PE-R00059_BD0U5YACXX.RHM073_CAGATC_L004_R2	23008453.0	21931991.0
HS002-PE-R00059_BD0U5YACXX.RHM073_CAGATC_L004_R2_val_2	22030087.0	21196336.0
HS002-PE-R00059_BD0U5YACXX.RHM074_GTGAAA_L004_R1	32973128.0	40562826.0
HS002-PE-R00059_BD0U5YACXX.RHM074_GTGAAA_L004_R1_val_1	31858746.0	38881100.0
HS002-PE-R00059_BD0U5YACXX.RHM074_GTGAAA_L004_R2	33566642.0	39969312.0
HS002-PE-R00059_BD0U5YACXX.RHM074_GTGAAA_L004_R2_val_2	32143060.0	38596786.0
HS002-PE-R00059_BD0U5YACXX.RHM075_CGATGT_L005_R1	27485612.0	35404226.0
HS002-PE-R00059_BD0U5YACXX.RHM075_CGATGT_L005_R1_val_1	26757533.0	34293829.0
HS002-PE-R00059_BD0U5YACXX.RHM075_CGATGT_L005_R2	27823617.0	35066221.0
HS002-PE-R00059_BD0U5YACXX.RHM075_CGATGT_L005_R2_val_2	26888042.0	34163320.0
HS002-PE-R00059_BD0U5YACXX.RHM076_CAGATC_L005_R1	18386394.0	17799129.0
HS002-PE-R00059_BD0U5YACXX.RHM076_CAGATC_L005_R1_val_1	17857708.0	16645600.0
HS002-PE-R00059_BD0U5YACXX.RHM076_CAGATC_L005_R2	18650771.0	17534752.0
HS002-PE-R00059_BD0U5YACXX.RHM076_CAGATC_L005_R2_val_2	17896781.0	16606527.0
