Sample	r_processed	r_with_adapters	bp_processed	quality_trimmed	bp_written	percent_trimmed
ERR315326_R1	8782257	4377449	887007957	25403063	803887220	9.370912216067076
ERR315326_R2	8782257	3993936	887007957	109091834	735965828	17.028272160133508
ERR315327_R1	6129051	2268467	619034151	24664492	585090578	5.483311856893013
ERR315327_R2	6129051	2215236	619034151	34551799	575884817	6.9704286799517785
ERR315336_R1	16389560	6761494	1655345560	18067953	1589742373	3.963111303479136
ERR315336_R2	16389560	6620117	1655345560	74378136	1537524718	7.117597971507532
ERR315353_R1	13576003	7130931	1371176303	30830683	1256191206	8.385872535021486
ERR315353_R2	13576003	6719295	1371176303	118391127	1182585341	13.753954293651471
ERR315361_R1	7388853	2679495	746274153	8939172	726176324	2.693089251343802
ERR315361_R2	7388853	2534509	746274153	38726084	702674008	5.842376400780961
ERR315368_R1	8684958	4325761	877180758	16795939	811263239	7.514701889983774
ERR315368_R2	8684958	4131470	877180758	62843519	772661555	11.915355192960126
ERR315374_R1	15241666	6761844	1539408266	17941234	1460564726	5.12167835793601
ERR315374_R2	15241666	6595800	1539408266	61935965	1423692747	7.51688304887925
ERR315377_R1	15022448	6673957	1517267248	16788628	1439878342	5.100545477536071
ERR315377_R2	15022448	6508448	1517267248	59526814	1404176620	7.453573399746912
ERR315386_R1	7492575	4222822	756750075	15019783	679786565	10.170267905160102
ERR315386_R2	7492575	4045798	756750075	48228864	654221750	13.548505429616245
ERR315394_R1	6095986	2248887	615694586	24838843	581652166	5.529108225746198
ERR315394_R2	6095986	2191602	615694586	34023124	573130905	6.913116010411045
ERR315399_R1	16101325	6647107	1626233825	16732868	1562376273	3.9267140443349224
ERR315399_R2	16101325	6504254	1626233825	70815659	1512265385	7.008121356718183
ERR315414_R1	22811186	8417315	2303929786	248482791	2027472025	11.999400445270341
ERR315414_R2	22811186	8253255	2303929786	277568139	1999564899	13.210684147125306
ERR315424_R1	8761137	4359593	884874837	24916117	803419563	9.205287640019082
ERR315424_R2	8761137	3935006	884874837	113903801	731109737	17.37704515604844
ERR315432_R1	17585264	7163704	1776111664	126400043	1608028864	9.463526613042951
ERR315432_R2	17585264	7101962	1776111664	185118673	1555037586	12.447082155978679
ERR315433_R1	8736265	4338232	882362765	17691250	815492098	7.5785912158249324
ERR315433_R2	8736265	4133433	882362765	67836267	773305720	12.359660824989595
ERR315438_R1	7526336	4231758	760159936	15746194	682430714	10.225377360587444
ERR315438_R2	7526336	4041282	760159936	51758643	654671552	13.87713019382279
ERR315439_R1	6280429	2491453	634323329	7167683	616322356	2.837822948807232
ERR315439_R2	6280429	2340020	634323329	42084312	588560261	7.214470272147282
ERR315444_R1	6387998	2536598	645187798	7398346	626415514	2.909584474193667
ERR315444_R2	6387998	2377885	645187798	44458712	596971356	7.473241457675553
ERR315451_R1	15108148	5673023	1525922948	64696765	1433287336	6.070792245533488
ERR315451_R2	15108148	5488421	1525922948	92068455	1409934896	7.601173581668948
ERR315455_R1	24323755	11047338	2456699255	53136333	2308735102	6.022884270382538
ERR315455_R2	24323755	10903307	2456699255	120601301	2247202333	8.52757705582485
ERR315463_R1	15370846	5769148	1552455446	67773095	1456359935	6.189904595819235
ERR315463_R2	15370846	5593958	1552455446	93832668	1434091859	7.624282378278313
ERR315476_R1	14649029	6815404	1479551929	15557300	1398145404	5.5021066448827565
ERR315476_R2	14649029	6686320	1479551929	56924716	1361539662	7.97621662929818
ERR315477_R1	28466648	13194845	2875131448	62181285	2688993361	6.474072242139798
ERR315477_R2	28466648	13012888	2875131448	143127988	2617104939	8.974424775586817
ERR315478_R1	14906214	6924809	1505527614	16738827	1422409362	5.5208719672145445
ERR315478_R2	14906214	6787444	1505527614	59877134	1384168258	8.060918635531584
ERR315487_R1	13669047	7187600	1380573747	31377024	1263785155	8.45942437003331
ERR315487_R2	13669047	6851707	1380573747	110467855	1196198120	13.355000223685987
ERR315490_R1	7445571	2702848	752002671	10108932	730624546	2.8428256739529587
ERR315490_R2	7445571	2558771	752002671	40775801	706317901	6.075080815770134
ERR315495_R1	13084530	4699558	1321537530	14974764	1291326121	2.2860802901299366
ERR315495_R2	13084530	4512654	1321537530	63073137	1250592914	5.368339104225061
HS002-PE-R00059_BD0U5YACXX.RHM063_CGATGT_L001_R1	51945229	18725662	5246468129	204165718	4973837759	5.196455278037962
HS002-PE-R00059_BD0U5YACXX.RHM063_CGATGT_L001_R2	51945229	17966561	5246468129	324057335	4860917619	7.348763025336201
HS002-PE-R00059_BD0U5YACXX.RHM064_CAGATC_L001_R1	33950855	11205018	3429036355	146028179	3256518250	5.031095828087246
HS002-PE-R00059_BD0U5YACXX.RHM064_CAGATC_L001_R2	33950855	10744594	3429036355	227397295	3177180966	7.344786200145142
HS002-PE-R00059_BD0U5YACXX.RHM065_GTGAAA_L001_R1	69462070	23842405	7015669070	286469831	6664115422	5.010978204534953
HS002-PE-R00059_BD0U5YACXX.RHM065_GTGAAA_L001_R2	69462070	22885796	7015669070	442841151	6513207913	7.161984865400727
HS002-PE-R00059_BD0U5YACXX.RHM066_CGATGT_L002_R1	60339006	19773783	6094239606	318558927	5735844499	5.880883098970165
HS002-PE-R00059_BD0U5YACXX.RHM066_CGATGT_L002_R2	60339006	17101385	6094239606	1861214185	4202697623	31.038195169381073
HS002-PE-R00059_BD0U5YACXX.RHM067_CAGATC_L002_R1	74203167	24438848	7494519867	512942133	6915434043	7.7267901650356645
HS002-PE-R00059_BD0U5YACXX.RHM067_CAGATC_L002_R2	74203167	21064160	7494519867	2366541609	5082419690	32.18485266309055
HS002-PE-R00059_BD0U5YACXX.RHM068_GTGAAA_L002_R1	60201088	19605017	6080309888	347096987	5688631886	6.441744075791421
HS002-PE-R00059_BD0U5YACXX.RHM068_GTGAAA_L002_R2	60201088	17064239	6080309888	1881588527	4164339978	31.51105692460391
HS002-PE-R00059_BD0U5YACXX.RHM069_CGATGT_L003_R1	55208970	18226642	5576105970	211178853	5322824655	4.5422615058372005
HS002-PE-R00059_BD0U5YACXX.RHM069_CGATGT_L003_R2	55208970	18318214	5576105970	219628404	5314086455	4.698969431529652
HS002-PE-R00059_BD0U5YACXX.RHM070_CAGATC_L003_R1	45049673	14628217	4550016973	198362608	4314784903	5.169916318903367
HS002-PE-R00059_BD0U5YACXX.RHM070_CAGATC_L003_R2	45049673	14658574	4550016973	212533485	4301300191	5.466282510063068
HS002-PE-R00059_BD0U5YACXX.RHM071_GTGAAA_L003_R1	53650335	17764187	5418683835	210079420	5167846620	4.629117007709677
HS002-PE-R00059_BD0U5YACXX.RHM071_GTGAAA_L003_R2	53650335	17883981	5418683835	216899171	5160922224	4.756904422713934
HS002-PE-R00059_BD0U5YACXX.RHM072_CGATGT_L004_R1	64341577	21483669	6498499277	309452625	6137813816	5.550288545488746
HS002-PE-R00059_BD0U5YACXX.RHM072_CGATGT_L004_R2	64341577	21631529	6498499277	319734558	6129134381	5.683849151253819
HS002-PE-R00059_BD0U5YACXX.RHM073_CAGATC_L004_R1	44940444	14990376	4538984844	229051609	4280911944	5.685696446885955
HS002-PE-R00059_BD0U5YACXX.RHM073_CAGATC_L004_R2	44940444	15036873	4538984844	234266527	4276151198	5.7905821463016105
HS002-PE-R00059_BD0U5YACXX.RHM074_GTGAAA_L004_R1	73535954	24536861	7427131354	362777187	7016219914	5.5325726773190445
HS002-PE-R00059_BD0U5YACXX.RHM074_GTGAAA_L004_R2	73535954	24748107	7427131354	371236953	7007433132	5.650879215620239
HS002-PE-R00059_BD0U5YACXX.RHM075_CGATGT_L005_R1	62889838	20930483	6351873638	225767742	6079456537	4.288767638107098
HS002-PE-R00059_BD0U5YACXX.RHM075_CGATGT_L005_R2	62889838	21036738	6351873638	237705975	6067260567	4.48077350432959
HS002-PE-R00059_BD0U5YACXX.RHM076_CAGATC_L005_R1	36185523	12545957	3654737823	158165607	3431168197	6.117254829964311
HS002-PE-R00059_BD0U5YACXX.RHM076_CAGATC_L005_R2	36185523	12524078	3654737823	174395800	3421713451	6.375953167790334
