Sample	Human counts	Human percentage	total_reads	Mouse counts	Mouse percentage	Ecoli counts	Ecoli percentage	PhiX counts	PhiX percentage	Lambda counts	Lambda percentage	No hits counts	No hits percentage
HS002-PE-R00059_BD0U5YACXX.RHM063_CGATGT_L001_R1_screen	98347	98.25999999999999	100088	11803	11.79	0	0.0	0	0.0	0	0.0	1731	1.73
HS002-PE-R00059_BD0U5YACXX.RHM063_CGATGT_L001_R2_screen	97826	97.74	100088	11275	11.27	0	0.0	0	0.0	0	0.0	2231	2.23
HS002-PE-R00059_BD0U5YACXX.RHM064_CAGATC_L001_R1_screen	97978	98.13	99856	9557	9.57	0	0.0	0	0.0	0	0.0	1857	1.86
HS002-PE-R00059_BD0U5YACXX.RHM064_CAGATC_L001_R2_screen	97217	97.36	99856	9252	9.27	0	0.0	0	0.0	0	0.0	2616	2.62
HS002-PE-R00059_BD0U5YACXX.RHM065_GTGAAA_L001_R1_screen	98226	98.29	99946	10760	10.77	0	0.0	0	0.0	0	0.0	1709	1.71
HS002-PE-R00059_BD0U5YACXX.RHM065_GTGAAA_L001_R2_screen	97581	97.63	99946	10507	10.510000000000002	0	0.0	0	0.0	0	0.0	2328	2.33
HS002-PE-R00059_BD0U5YACXX.RHM066_CGATGT_L002_R1_screen	97855	97.8	100065	11657	11.64	0	0.0	0	0.0	0	0.0	2191	2.19
HS002-PE-R00059_BD0U5YACXX.RHM066_CGATGT_L002_R2_screen	95668	95.6	100065	9319	9.32	0	0.0	0	0.0	0	0.0	4372	4.37
HS002-PE-R00059_BD0U5YACXX.RHM067_CAGATC_L002_R1_screen	96826	96.83	100005	10935	10.940000000000001	0	0.0	0	0.0	0	0.0	3150	3.15
HS002-PE-R00059_BD0U5YACXX.RHM067_CAGATC_L002_R2_screen	94361	94.36000000000001	100005	8396	8.39	0	0.0	0	0.0	0	0.0	5610	5.61
HS002-PE-R00059_BD0U5YACXX.RHM068_GTGAAA_L002_R1_screen	97480	97.48	100002	11745	11.739999999999998	0	0.0	0	0.0	0	0.0	2500	2.5
HS002-PE-R00059_BD0U5YACXX.RHM068_GTGAAA_L002_R2_screen	95022	95.02	100002	9282	9.28	0	0.0	0	0.0	0	0.0	4940	4.94
HS002-PE-R00059_BD0U5YACXX.RHM069_CGATGT_L003_R1_screen	98137	98.11999999999999	100017	10443	10.45	0	0.0	0	0.0	0	0.0	1870	1.87
HS002-PE-R00059_BD0U5YACXX.RHM069_CGATGT_L003_R2_screen	97651	97.63000000000001	100017	10259	10.260000000000002	0	0.0	0	0.0	0	0.0	2340	2.34
HS002-PE-R00059_BD0U5YACXX.RHM070_CAGATC_L003_R1_screen	97858	97.75	100111	9959	9.95	0	0.0	0	0.0	0	0.0	2232	2.23
HS002-PE-R00059_BD0U5YACXX.RHM070_CAGATC_L003_R2_screen	97190	97.08	100111	9824	9.809999999999999	0	0.0	0	0.0	0	0.0	2903	2.9
HS002-PE-R00059_BD0U5YACXX.RHM071_GTGAAA_L003_R1_screen	98003	98.09	99908	16062	16.07	0	0.0	0	0.0	0	0.0	1888	1.89
HS002-PE-R00059_BD0U5YACXX.RHM071_GTGAAA_L003_R2_screen	97522	97.61	99908	15906	15.920000000000002	0	0.0	0	0.0	0	0.0	2357	2.36
HS002-PE-R00059_BD0U5YACXX.RHM072_CGATGT_L004_R1_screen	97722	97.66	100065	14448	14.440000000000001	0	0.0	0	0.0	0	0.0	2311	2.31
HS002-PE-R00059_BD0U5YACXX.RHM072_CGATGT_L004_R2_screen	97207	97.13999999999999	100065	14394	14.39	0	0.0	0	0.0	0	0.0	2821	2.82
HS002-PE-R00059_BD0U5YACXX.RHM073_CAGATC_L004_R1_screen	97866	97.77	100091	11387	11.38	0	0.0	0	0.0	0	0.0	2202	2.2
HS002-PE-R00059_BD0U5YACXX.RHM073_CAGATC_L004_R2_screen	97140	97.06	100091	11377	11.36	0	0.0	0	0.0	0	0.0	2922	2.92
HS002-PE-R00059_BD0U5YACXX.RHM074_GTGAAA_L004_R1_screen	97889	97.84	100049	12227	12.219999999999999	0	0.0	0	0.0	0	0.0	2141	2.14
HS002-PE-R00059_BD0U5YACXX.RHM074_GTGAAA_L004_R2_screen	97292	97.24	100049	11902	11.899999999999999	0	0.0	0	0.0	0	0.0	2741	2.74
HS002-PE-R00059_BD0U5YACXX.RHM075_CGATGT_L005_R1_screen	98273	98.27999999999999	99984	14095	14.1	1	0.0	0	0.0	0	0.0	1689	1.69
HS002-PE-R00059_BD0U5YACXX.RHM075_CGATGT_L005_R2_screen	97805	97.82	99984	14005	14.0	0	0.0	0	0.0	0	0.0	2149	2.15
HS002-PE-R00059_BD0U5YACXX.RHM076_CAGATC_L005_R1_screen	96837	96.87	99961	11833	11.84	1	0.0	0	0.0	0	0.0	3058	3.06
HS002-PE-R00059_BD0U5YACXX.RHM076_CAGATC_L005_R2_screen	96127	96.16000000000001	99961	11666	11.67	0	0.0	0	0.0	0	0.0	3798	3.8
