Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
ERR315326_1	ERR315326_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8782257.0	0.0	101.0	50.0	63.3623335836073	101.0	pass	pass	warn	pass	fail	pass	pass	pass	warn	fail	fail	fail
ERR315326_2	ERR315326_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8782257.0	0.0	101.0	50.0	67.7634052688727	101.0	pass	warn	fail	pass	fail	pass	pass	pass	warn	pass	fail	fail
ERR315327_1	ERR315327_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6129051.0	0.0	101.0	48.0	48.703609758001384	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass	fail
ERR315327_2	ERR315327_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6129051.0	0.0	101.0	48.0	50.115207141755256	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass	fail
ERR315336_1	ERR315336_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16389560.0	0.0	101.0	49.0	57.90720574035609	101.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	warn	warn	fail
ERR315336_2	ERR315336_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16389560.0	0.0	101.0	49.0	59.53479665533244	101.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	warn	fail
ERR315353_1	ERR315353_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13576003.0	0.0	101.0	49.0	52.94029206852981	101.0	pass	pass	warn	pass	fail	warn	pass	pass	warn	warn	fail	fail
ERR315353_2	ERR315353_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13576003.0	0.0	101.0	49.0	60.553498060172075	101.0	pass	warn	fail	pass	fail	warn	warn	pass	warn	pass	fail	fail
ERR315361_1	ERR315361_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7388853.0	0.0	101.0	47.0	65.93871590810957	101.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	fail	pass	fail
ERR315361_2	ERR315361_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7388853.0	0.0	101.0	47.0	67.85237999527655	101.0	pass	pass	warn	pass	fail	pass	pass	pass	warn	warn	pass	fail
ERR315368_1	ERR315368_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8684958.0	0.0	101.0	48.0	68.55757135727227	101.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	warn	fail	fail
ERR315368_2	ERR315368_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8684958.0	0.0	101.0	48.0	70.26919746422492	101.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	fail	fail
ERR315374_1	ERR315374_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15241666.0	0.0	101.0	48.0	54.389656685392985	101.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	warn	fail	fail
ERR315374_2	ERR315374_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15241666.0	0.0	101.0	49.0	55.846221035178765	101.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	fail	fail
ERR315377_1	ERR315377_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15022448.0	0.0	101.0	49.0	54.765602413986116	101.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	warn	fail	fail
ERR315377_2	ERR315377_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15022448.0	0.0	101.0	49.0	55.634185036168105	101.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	fail	fail
ERR315386_1	ERR315386_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7492575.0	0.0	101.0	48.0	69.72650358365887	101.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	warn	fail	fail
ERR315386_2	ERR315386_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7492575.0	0.0	101.0	48.0	71.43303558635164	101.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	fail	fail
ERR315394_1	ERR315394_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6095986.0	0.0	101.0	48.0	48.79470087441713	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass	fail
ERR315394_2	ERR315394_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6095986.0	0.0	101.0	48.0	49.855383204725406	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass	fail
ERR315399_1	ERR315399_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16101325.0	0.0	101.0	49.0	58.56548869760317	101.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	warn	warn	fail
ERR315399_2	ERR315399_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16101325.0	0.0	101.0	49.0	59.59879116475656	101.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	warn	fail
ERR315414_1	ERR315414_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22811186.0	0.0	101.0	47.0	38.954303411481135	101.0	pass	fail	pass	pass	fail	warn	pass	pass	fail	pass	pass	fail
