Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	HTSeq Count_mqc-generalstats-htseq_count-percent_assigned	HTSeq Count_mqc-generalstats-htseq_count-assigned	Kallisto_mqc-generalstats-kallisto-fragment_length	Kallisto_mqc-generalstats-kallisto-percent_aligned	Kallisto_mqc-generalstats-kallisto-pseudoaligned_reads	Bowtie 2 / HiSAT2_mqc-generalstats-bowtie_2_hisat2-overall_alignment_rate	QualiMap_mqc-generalstats-qualimap-percentage_aligned	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-general_error_rate	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-reads_aligned	QualiMap_mqc-generalstats-qualimap-avg_gc	QualiMap_mqc-generalstats-qualimap-median_insert_size	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-10_x_pc	QualiMap_mqc-generalstats-qualimap-30_x_pc	QualiMap_mqc-generalstats-qualimap-50_x_pc	QualiMap_mqc-generalstats-qualimap-median_coverage	QualiMap_mqc-generalstats-qualimap-mean_coverage	Picard_mqc-generalstats-picard-summed_median	Picard_mqc-generalstats-picard-summed_mean	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped
ERR315326_1	36.6376664163927	50.0	101.0	33.33333333333333	8782257.0																												
ERR315326_2	32.2365947311273	50.0	101.0	33.33333333333333	8782257.0																												
ERR315326_R1						9.370912216067076																											
ERR315326_R1_val.star							88.69	7181802.0																									
ERR315326_R2						17.028272160133508																											
ERR315326_STAR.srt									88.60487085387068	11704598																							
ERR315327_1	51.296390241998616	48.0	101.0	25.0	6129051.0																												
ERR315327_2	49.884792858244744	48.0	101.0	16.666666666666664	6129051.0																												
ERR315327_R1						5.483311856893013																											
ERR315327_R1_val.star							93.67	5679262.0																									
ERR315327_R2						6.9704286799517785																											
ERR315327_STAR.srt									90.79637110738311	9962926																							
ERR315336_1	42.09279425964391	49.0	101.0	16.666666666666664	16389560.0																												
ERR315336_2	40.46520334466756	49.0	101.0	16.666666666666664	16389560.0																												
ERR315336_R1						3.963111303479136																											
ERR315336_R1_val.star							92.46	14808472.0																									
ERR315336_R2						7.117597971507532																											
ERR315336_STAR.srt									88.2591362237828	25227236																							
ERR315353_1	47.05970793147019	49.0	101.0	25.0	13576003.0																												
ERR315353_2	39.446501939827925	49.0	101.0	33.33333333333333	13576003.0																												
ERR315353_R1						8.385872535021486																											
ERR315353_R1_val.star							89.43	11611897.0																									
ERR315353_R2						13.753954293651471																											
ERR315353_STAR.srt									89.92893556156442	19867283																							
ERR315361_1	34.06128409189043	47.0	101.0	25.0	7388853.0																												
ERR315361_2	32.14762000472345	47.0	101.0	16.666666666666664	7388853.0																												
ERR315361_R1						2.693089251343802																											
ERR315361_R1_val.star							88.36	6317881.0																									
ERR315361_R2						5.842376400780961																											
ERR315361_STAR.srt									88.82321829844624	11038819																							
ERR315368_1	31.442428642727734	48.0	101.0	25.0	8684958.0																												
ERR315368_2	29.730802535775084	48.0	101.0	25.0	8684958.0																												
ERR315368_R1						7.514701889983774																											
ERR315368_R1_val.star							88.78	7387874.0																									
ERR315368_R2						11.915355192960126																											
ERR315368_STAR.srt									84.2877564941818	11419607																							
ERR315374_1	45.610343314607015	48.0	101.0	25.0	15241666.0																												
