Sample	ambiguous	no_feature	too_low_aQual	not_aligned	alignment_not_unique	assigned	total_count	percent_assigned
ERR315326_STAR.srt	825766	679517	0	0	0	11704598	13209881	88.60487085387068
ERR315327_STAR.srt	645341	364557	0	0	0	9962926	10972824	90.79637110738311
ERR315336_STAR.srt	1901573	1454335	0	0	0	25227236	28583144	88.2591362237828
ERR315353_STAR.srt	1376419	848501	0	0	0	19867283	22092203	89.92893556156442
ERR315361_STAR.srt	769186	619848	0	0	0	11038819	12427853	88.82321829844624
ERR315368_STAR.srt	843317	1285434	0	0	0	11419607	13548358	84.2877564941818
ERR315374_STAR.srt	1630517	1014900	0	0	0	23797181	26442598	89.9956237280467
ERR315377_STAR.srt	1610505	993969	0	0	0	23454279	26058753	90.00537746376429
ERR315386_STAR.srt	731725	894669	0	0	0	10010030	11636424	86.02324906689547
ERR315394_STAR.srt	640977	363453	0	0	0	9910332	10914762	90.79750891499054
ERR315399_STAR.srt	1872687	1424145	0	0	0	24789695	28086527	88.26187374466056
ERR315414_STAR.srt	2475136	1396630	0	0	0	37301685	41173451	90.5964501251061
ERR315424_STAR.srt	823977	674533	0	0	0	11676652	13175162	88.62624990872978
ERR315432_STAR.srt	1721122	1325958	0	0	0	27727979	30775059	90.09886544815397
ERR315433_STAR.srt	843223	1292448	0	0	0	11464001	13599672	84.29615802498766
ERR315438_STAR.srt	734044	900567	0	0	0	10032673	11667284	85.98978991168809
ERR315439_STAR.srt	378257	424400	0	0	0	5917017	6719674	88.05511993587784
ERR315444_STAR.srt	382871	432062	0	0	0	6013700	6828633	88.06594233428565
ERR315451_STAR.srt	1791714	873037	0	0	0	24209581	26874332	90.08440098157602
ERR315455_STAR.srt	2374975	2725698	0	0	0	36927750	42028423	87.86375353650551
ERR315463_STAR.srt	1816169	889707	0	0	0	24644971	27350847	90.10679267080833
ERR315476_STAR.srt	1647328	1352918	0	0	0	22244517	25244763	88.11537268145476
ERR315477_STAR.srt	2719245	4447647	0	0	0	41703288	48870180	85.33483609022926
ERR315478_STAR.srt	1671168	1388229	0	0	0	22629360	25688757	88.09052146820494
ERR315487_STAR.srt	1393307	862755	0	0	0	20059366	22315428	89.89012444663844
ERR315490_STAR.srt	773884	624040	0	0	0	11100766	12498690	88.81543585767788
ERR315495_STAR.srt	1361149	1172917	0	0	0	19701146	22235212	88.60336478914616
RHM063_CGATGT_L001_STAR.srt	5566444	5995525	0	0	0	78027519	89589488	87.09450264968586
RHM064_CAGATC_L001_STAR.srt	3379617	4506090	0	0	0	50442881	58328588	86.48054535453524
RHM065_GTGAAA_L001_STAR.srt	7141620	10469124	0	0	0	101016945	118627689	85.15460922449563
RHM066_CGATGT_L002_STAR.srt	5471132	9467273	0	0	0	86698032	101636437	85.30211660213945
RHM067_CAGATC_L002_STAR.srt	6955231	12078760	0	0	0	105660796	124694787	84.7355358969417
RHM068_GTGAAA_L002_STAR.srt	5889737	9823903	0	0	0	88370953	104084593	84.90301057333241
RHM069_CGATGT_L003_STAR.srt	5256930	7767403	0	0	0	80387536	93411869	86.05708981157416
RHM070_CAGATC_L003_STAR.srt	4278229	5779785	0	0	0	66230560	76288574	86.8158316866691
RHM071_GTGAAA_L003_STAR.srt	5403260	9030444	0	0	0	75059399	89493103	83.87171355540103
RHM072_CGATGT_L004_STAR.srt	7941312	10293849	0	0	0	93048264	111283425	83.61376727935898
RHM073_CAGATC_L004_STAR.srt	4974137	7958665	0	0	0	66417740	79350542	83.70168410443875
RHM074_GTGAAA_L004_STAR.srt	8956777	13512581	0	0	0	108738791	131208149	82.8750285929268
RHM075_CGATGT_L005_STAR.srt	6839356	10806711	0	0	0	89446730	107092797	83.52263878213957
RHM076_CAGATC_L005_STAR.srt	3972915	5601188	0	0	0	52891731	62465834	84.67305663444756
