Sample	total_reads	pseudoaligned_reads	not_pseudoaligned_reads	percent_aligned	fragment_length
HS002-PE-R00059_BD0U5YACXX.RHM063_CGATGT_L001_R1_val_1	50471557.0	44097808.0	6373749.0	87.3716021877431	167.862
HS002-PE-R00059_BD0U5YACXX.RHM064_CAGATC_L001_R1_val_1	32899019.0	28055886.0	4843133.0	85.27879205151983	169.256
HS002-PE-R00059_BD0U5YACXX.RHM065_GTGAAA_L001_R1_val_1	67414992.0	58098637.0	9316355.0	86.18058873314114	165.296
HS002-PE-R00059_BD0U5YACXX.RHM066_CGATGT_L002_R1_val_1	58016047.0	48531088.0	9484959.0	83.65114569077758	167.866
HS002-PE-R00059_BD0U5YACXX.RHM067_CAGATC_L002_R1_val_1	70152623.0	59280920.0	10871703.0	84.50278473550448	169.418
HS002-PE-R00059_BD0U5YACXX.RHM068_GTGAAA_L002_R1_val_1	57544452.0	48640255.0	8904197.0	84.52640230199778	179.79
HS002-PE-R00059_BD0U5YACXX.RHM069_CGATGT_L003_R1_val_1	53502094.0	45687984.0	7814110.0	85.39475856776745	173.161
HS002-PE-R00059_BD0U5YACXX.RHM070_CAGATC_L003_R1_val_1	43410907.0	37229582.0	6181325.0	85.76089414579613	177.99
HS002-PE-R00059_BD0U5YACXX.RHM071_GTGAAA_L003_R1_val_1	51990896.0	41595981.0	10394915.0	80.00627840689647	173.473
HS002-PE-R00059_BD0U5YACXX.RHM072_CGATGT_L004_R1_val_1	61918610.0	50157586.0	11761024.0	81.00567180044901	172.698
HS002-PE-R00059_BD0U5YACXX.RHM073_CAGATC_L004_R1_val_1	43226423.0	35860456.0	7365967.0	82.95957312961103	167.774
HS002-PE-R00059_BD0U5YACXX.RHM074_GTGAAA_L004_R1_val_1	70739846.0	59001431.0	11738415.0	83.40621917667166	175.734
HS002-PE-R00059_BD0U5YACXX.RHM075_CGATGT_L005_R1_val_1	61051362.0	49608425.0	11442937.0	81.25686860188311	165.346
HS002-PE-R00059_BD0U5YACXX.RHM076_CAGATC_L005_R1_val_1	34503308.0	29228276.0	5275032.0	84.71151809559827	169.568
