Sample	SAMPLE_NAME	MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
RHM063_multistar.nsrtd_FR	RHM063_multistar.nsrtd	198.0	81.0	14.0	3119472.0	231.742982	175.403431	49662323.0	FR	37.0	69.0	101.0	131.0	163.0	203.0	455.0	1723.0	5625.0	39527.0			
RHM064_multistar.nsrtd_FR	RHM064_multistar.nsrtd	205.0	85.0	14.0	2450290.0	242.62333	184.892869	32412253.0	FR	43.0	81.0	113.0	141.0	171.0	215.0	691.0	2553.0	7313.0	49105.0			
RHM065_multistar.nsrtd_FR	RHM065_multistar.nsrtd	190.0	71.0	13.0	2814789.0	221.357194	153.968339	66364511.0	FR	33.0	61.0	89.0	115.0	143.0	179.0	427.0	1545.0	5479.0	40051.0			
RHM066_multistar.nsrtd_FR	RHM066_multistar.nsrtd	191.0	66.0	14.0	2065919.0	218.195902	143.983987	57068371.0	FR	31.0	61.0	85.0	109.0	133.0	167.0	489.0	1919.0	6331.0	44641.0			
RHM067_multistar.nsrtd_FR	RHM067_multistar.nsrtd	190.0	66.0	14.0	1736936.0	217.832135	142.926467	69071923.0	FR	31.0	59.0	85.0	107.0	133.0	165.0	395.0	1501.0	5353.0	40891.0			
RHM068_multistar.nsrtd_FR	RHM068_multistar.nsrtd	213.0	85.0	13.0	1767997.0	248.33909	185.681795	56563090.0	FR	43.0	79.0	113.0	143.0	171.0	211.0	581.0	2199.0	6573.0	46425.0			
RHM069_multistar.nsrtd_FR	RHM069_multistar.nsrtd	208.0	86.0	14.0	2405139.0	247.375001	186.640889	52715558.0	FR	45.0	83.0	117.0	145.0	173.0	217.0	635.0	2323.0	7091.0	49863.0			
RHM070_multistar.nsrtd_FR	RHM070_multistar.nsrtd	217.0	93.0	14.0	1705158.0	262.203285	207.031837	42751837.0	FR	51.0	93.0	127.0	157.0	187.0	245.0	711.0	2597.0	7737.0	51095.0			
RHM071_multistar.nsrtd_FR	RHM071_multistar.nsrtd	190.0	62.0	14.0	2965658.0	208.411156	126.900481	60989401.0	FR	29.0	55.0	79.0	103.0	125.0	155.0	285.0	1503.0	4881.0	42545.0			
RHM072_multistar.nsrtd_FR	RHM072_multistar.nsrtd	190.0	62.0	14.0	2965658.0	208.411156	126.900481	60989401.0	FR	29.0	55.0	79.0	103.0	125.0	155.0	285.0	1503.0	4881.0	42545.0			
RHM073_multistar.nsrtd_FR	RHM073_multistar.nsrtd	187.0	59.0	14.0	1451653.0	206.662607	122.496792	42579744.0	FR	27.0	53.0	75.0	97.0	119.0	147.0	287.0	1343.0	4947.0	44237.0			
RHM074_multistar.nsrtd_FR	RHM074_multistar.nsrtd	199.0	71.0	13.0	1915191.0	224.462236	150.528165	69760961.0	FR	35.0	65.0	93.0	117.0	143.0	175.0	379.0	1701.0	5495.0	47129.0			
RHM075_multistar.nsrtd_FR	RHM075_multistar.nsrtd	183.0	56.0	14.0	2065944.0	203.161076	117.077379	60205963.0	FR	27.0	49.0	71.0	93.0	113.0	141.0	255.0	1109.0	4487.0	40707.0			
RHM076_multistar.nsrtd_FR	RHM076_multistar.nsrtd	191.0	65.0	14.0	2590536.0	213.980086	135.323287	34038786.0	FR	31.0	57.0	83.0	107.0	131.0	161.0	309.0	1329.0	4931.0	43669.0			
