Sample	bam_file	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	general_error_rate	percentage_aligned
RHM063_CGATGT_L001_STAR.srt	RHM063_CGATGT_L001_STAR.srt.bam	91141247.0	91141247.0	71877884209.0	8759755377.0	1579.8171	199.0	30.9894	0.0	100.0
RHM064_CAGATC_L001_STAR.srt	RHM064_CAGATC_L001_STAR.srt.bam	59292747.0	59292747.0	57791602659.0	5717674777.0	1948.3766	204.0	31.0843	0.0	100.0
RHM065_GTGAAA_L001_STAR.srt	RHM065_GTGAAA_L001_STAR.srt.bam	120312738.0	120312738.0	96279542773.0	11596673558.0	1572.9839	189.0	30.4787	0.0	100.0
RHM066_CGATGT_L002_STAR.srt	RHM066_CGATGT_L002_STAR.srt.bam	102697300.0	102697300.0	73692653179.0	8642814581.0	1720.839	192.0	30.8068	0.0	100.0
RHM067_CAGATC_L002_STAR.srt	RHM067_CAGATC_L002_STAR.srt.bam	125867831.0	125867831.0	81642651840.0	10553932848.0	1581.8968	190.0	33.0347	0.0	100.0
RHM068_GTGAAA_L002_STAR.srt	RHM068_GTGAAA_L002_STAR.srt.bam	105101977.0	105101977.0	71778246156.0	8826283057.0	1787.5258	214.0	32.0648	0.0	100.0
RHM069_CGATGT_L003_STAR.srt	RHM069_CGATGT_L003_STAR.srt.bam	94594229.0	94594229.0	93649648519.0	9267058472.0	1964.617	207.0	31.1645	0.0	100.0
RHM070_CAGATC_L003_STAR.srt	RHM070_CAGATC_L003_STAR.srt.bam	77211811.0	77211811.0	75298742901.0	7545107639.0	2035.2882	216.0	30.8968	0.0	100.0
RHM071_GTGAAA_L003_STAR.srt	RHM071_GTGAAA_L003_STAR.srt.bam	90877590.0	90877590.0	71913259427.0	8899423117.0	1620.8232	197.0	31.6663	0.0	100.0
RHM072_CGATGT_L004_STAR.srt	RHM072_CGATGT_L004_STAR.srt.bam	112746052.0	112746052.0	83111320955.0	10997698305.0	1514.2716	195.0	31.9944	0.0	100.0
RHM073_CAGATC_L004_STAR.srt	RHM073_CAGATC_L004_STAR.srt.bam	80635717.0	80635717.0	61801493878.0	7856548133.0	1535.1687	187.0	32.0297	0.0	100.0
RHM074_GTGAAA_L004_STAR.srt	RHM074_GTGAAA_L004_STAR.srt.bam	132708535.0	132708535.0	103776280072.0	12948306885.0	1639.1329	199.0	32.3639	0.0	100.0
RHM075_CGATGT_L005_STAR.srt	RHM075_CGATGT_L005_STAR.srt.bam	108600736.0	108600736.0	81481598386.0	10655478644.0	1467.3814	184.0	32.8738	0.0	100.0
RHM076_CAGATC_L005_STAR.srt	RHM076_CAGATC_L005_STAR.srt.bam	63604584.0	63604584.0	48846733987.0	6224653266.0	1537.395	190.0	31.0503	0.0	100.0
