Sample	salmon_version	samp_type	opt_type	quant_errors	num_libraries	library_types	frag_dist_length	seq_bias_correct	gc_bias_correct	num_bias_bins	mapping_type	num_targets	serialized_eq_classes	eq_class_properties	length_classes	index_seq_hash	index_name_hash	index_seq_hash512	index_name_hash512	num_bootstraps	num_processed	num_mapped	percent_mapped	call	start_time	end_time
quants_RHM063	0.13.0	none	vb	[]	1	['IU']	1001	False	False	4096	mapping	166667	False	[]	[553, 723, 1209, 2454, 104301]	5b2ed3ff2666a162ffb5c8e6558055934af56905f21a12f98379933a412b8184	15b5681d508c558263da7c8c5f14a31d7354d1979311d91e1abf34e7e568b5ee	5181eccc0e9ed3180d68621b2885fb5e961fb3856cfd3491b68bce715548046f7e35c88e45899f71a88217432027ba84ccaf1553180a642280dcc1731b0bfa1c	0da16d89ab0d3be583a6ae84cf4d1c3802ad08e1cbb8fee5f378585f30a0a5a6855c5755834bac496260deec6deb41e77cc64404b01082a53b5f26e54822c8fc	0	50471557	43832732	86.846403410935	quant	Thu Mar 28 15:29:37 2019	Thu Mar 28 15:37:22 2019
quants_RHM064	0.13.0	none	vb	[]	1	['IU']	1001	False	False	4096	mapping	166667	False	[]	[553, 723, 1209, 2454, 104301]	5b2ed3ff2666a162ffb5c8e6558055934af56905f21a12f98379933a412b8184	15b5681d508c558263da7c8c5f14a31d7354d1979311d91e1abf34e7e568b5ee	5181eccc0e9ed3180d68621b2885fb5e961fb3856cfd3491b68bce715548046f7e35c88e45899f71a88217432027ba84ccaf1553180a642280dcc1731b0bfa1c	0da16d89ab0d3be583a6ae84cf4d1c3802ad08e1cbb8fee5f378585f30a0a5a6855c5755834bac496260deec6deb41e77cc64404b01082a53b5f26e54822c8fc	0	32899019	28125534	85.49049441261455	quant	Thu Mar 28 14:25:58 2019	Thu Mar 28 14:31:34 2019
quants_RHM065	0.13.0	none	vb	[]	1	['IU']	1001	False	False	4096	mapping	166667	False	[]	[553, 723, 1209, 2454, 104301]	5b2ed3ff2666a162ffb5c8e6558055934af56905f21a12f98379933a412b8184	15b5681d508c558263da7c8c5f14a31d7354d1979311d91e1abf34e7e568b5ee	5181eccc0e9ed3180d68621b2885fb5e961fb3856cfd3491b68bce715548046f7e35c88e45899f71a88217432027ba84ccaf1553180a642280dcc1731b0bfa1c	0da16d89ab0d3be583a6ae84cf4d1c3802ad08e1cbb8fee5f378585f30a0a5a6855c5755834bac496260deec6deb41e77cc64404b01082a53b5f26e54822c8fc	0	67414992	57160630	84.78919644461278	quant	Thu Mar 28 15:00:51 2019	Thu Mar 28 15:12:36 2019
quants_RHM066	0.13.0	none	vb	[]	1	['IU']	1001	False	False	4096	mapping	166667	False	[]	[553, 723, 1209, 2454, 104301]	5b2ed3ff2666a162ffb5c8e6558055934af56905f21a12f98379933a412b8184	15b5681d508c558263da7c8c5f14a31d7354d1979311d91e1abf34e7e568b5ee	5181eccc0e9ed3180d68621b2885fb5e961fb3856cfd3491b68bce715548046f7e35c88e45899f71a88217432027ba84ccaf1553180a642280dcc1731b0bfa1c	0da16d89ab0d3be583a6ae84cf4d1c3802ad08e1cbb8fee5f378585f30a0a5a6855c5755834bac496260deec6deb41e77cc64404b01082a53b5f26e54822c8fc	0	58016047	48170166	83.02903850033077	quant	Thu Mar 28 15:14:37 2019	Thu Mar 28 15:23:57 2019
quants_RHM067	0.13.0	none	vb	[]	1	['IU']	1001	False	False	4096	mapping	166667	False	[]	[553, 723, 1209, 2454, 104301]	5b2ed3ff2666a162ffb5c8e6558055934af56905f21a12f98379933a412b8184	15b5681d508c558263da7c8c5f14a31d7354d1979311d91e1abf34e7e568b5ee	5181eccc0e9ed3180d68621b2885fb5e961fb3856cfd3491b68bce715548046f7e35c88e45899f71a88217432027ba84ccaf1553180a642280dcc1731b0bfa1c	0da16d89ab0d3be583a6ae84cf4d1c3802ad08e1cbb8fee5f378585f30a0a5a6855c5755834bac496260deec6deb41e77cc64404b01082a53b5f26e54822c8fc	0	70152623	58723420	83.70808886219407	quant	Thu Mar 28 15:32:47 2019	Thu Mar 28 15:43:06 2019
quants_RHM068	0.13.0	none	vb	[]	1	['IU']	1001	False	False	4096	mapping	166667	False	[]	[553, 723, 1209, 2454, 104301]	5b2ed3ff2666a162ffb5c8e6558055934af56905f21a12f98379933a412b8184	15b5681d508c558263da7c8c5f14a31d7354d1979311d91e1abf34e7e568b5ee	5181eccc0e9ed3180d68621b2885fb5e961fb3856cfd3491b68bce715548046f7e35c88e45899f71a88217432027ba84ccaf1553180a642280dcc1731b0bfa1c	0da16d89ab0d3be583a6ae84cf4d1c3802ad08e1cbb8fee5f378585f30a0a5a6855c5755834bac496260deec6deb41e77cc64404b01082a53b5f26e54822c8fc	0	57544452	48310264	83.95294823556578	quant	Thu Mar 28 15:40:39 2019	Thu Mar 28 15:50:05 2019
quants_RHM069	0.13.0	none	vb	[]	1	['IU']	1001	False	False	4096	mapping	166667	False	[]	[553, 723, 1209, 2454, 104301]	5b2ed3ff2666a162ffb5c8e6558055934af56905f21a12f98379933a412b8184	15b5681d508c558263da7c8c5f14a31d7354d1979311d91e1abf34e7e568b5ee	5181eccc0e9ed3180d68621b2885fb5e961fb3856cfd3491b68bce715548046f7e35c88e45899f71a88217432027ba84ccaf1553180a642280dcc1731b0bfa1c	0da16d89ab0d3be583a6ae84cf4d1c3802ad08e1cbb8fee5f378585f30a0a5a6855c5755834bac496260deec6deb41e77cc64404b01082a53b5f26e54822c8fc	0	53502094	45401756	84.85977389969072	quant	Thu Mar 28 15:48:24 2019	Thu Mar 28 15:57:23 2019
quants_RHM070	0.13.0	none	vb	[]	1	['IU']	1001	False	False	4096	mapping	166667	False	[]	[553, 723, 1209, 2454, 104301]	5b2ed3ff2666a162ffb5c8e6558055934af56905f21a12f98379933a412b8184	15b5681d508c558263da7c8c5f14a31d7354d1979311d91e1abf34e7e568b5ee	5181eccc0e9ed3180d68621b2885fb5e961fb3856cfd3491b68bce715548046f7e35c88e45899f71a88217432027ba84ccaf1553180a642280dcc1731b0bfa1c	0da16d89ab0d3be583a6ae84cf4d1c3802ad08e1cbb8fee5f378585f30a0a5a6855c5755834bac496260deec6deb41e77cc64404b01082a53b5f26e54822c8fc	0	43410907	37169558	85.62262474727838	quant	Thu Mar 28 16:01:53 2019	Thu Mar 28 16:08:11 2019
quants_RHM071	0.13.0	none	vb	[]	1	['IU']	1001	False	False	4096	mapping	166667	False	[]	[553, 723, 1209, 2454, 104301]	5b2ed3ff2666a162ffb5c8e6558055934af56905f21a12f98379933a412b8184	15b5681d508c558263da7c8c5f14a31d7354d1979311d91e1abf34e7e568b5ee	5181eccc0e9ed3180d68621b2885fb5e961fb3856cfd3491b68bce715548046f7e35c88e45899f71a88217432027ba84ccaf1553180a642280dcc1731b0bfa1c	0da16d89ab0d3be583a6ae84cf4d1c3802ad08e1cbb8fee5f378585f30a0a5a6855c5755834bac496260deec6deb41e77cc64404b01082a53b5f26e54822c8fc	0	51990896	41030289	78.91821868197849	quant	Thu Mar 28 16:02:03 2019	Thu Mar 28 16:11:37 2019
quants_RHM072	0.13.0	none	vb	[]	1	['IU']	1001	False	False	4096	mapping	166667	False	[]	[553, 723, 1209, 2454, 104301]	5b2ed3ff2666a162ffb5c8e6558055934af56905f21a12f98379933a412b8184	15b5681d508c558263da7c8c5f14a31d7354d1979311d91e1abf34e7e568b5ee	5181eccc0e9ed3180d68621b2885fb5e961fb3856cfd3491b68bce715548046f7e35c88e45899f71a88217432027ba84ccaf1553180a642280dcc1731b0bfa1c	0da16d89ab0d3be583a6ae84cf4d1c3802ad08e1cbb8fee5f378585f30a0a5a6855c5755834bac496260deec6deb41e77cc64404b01082a53b5f26e54822c8fc	0	61918610	49858024	80.5218721802702	quant	Thu Mar 28 16:11:41 2019	Thu Mar 28 16:23:18 2019
quants_RHM073	0.13.0	none	vb	[]	1	['IU']	1001	False	False	4096	mapping	166667	False	[]	[553, 723, 1209, 2454, 104301]	5b2ed3ff2666a162ffb5c8e6558055934af56905f21a12f98379933a412b8184	15b5681d508c558263da7c8c5f14a31d7354d1979311d91e1abf34e7e568b5ee	5181eccc0e9ed3180d68621b2885fb5e961fb3856cfd3491b68bce715548046f7e35c88e45899f71a88217432027ba84ccaf1553180a642280dcc1731b0bfa1c	0da16d89ab0d3be583a6ae84cf4d1c3802ad08e1cbb8fee5f378585f30a0a5a6855c5755834bac496260deec6deb41e77cc64404b01082a53b5f26e54822c8fc	0	43226423	35464886	82.04446155537784	quant	Thu Mar 28 16:24:32 2019	Thu Mar 28 16:31:31 2019
