Module	Section	Sample Name	Source
QualiMap	genome_results	RHM073_CAGATC_L004_STAR.srt	/storage/CTR-Projects/CTR_gjb2/CTR_gjb2_0001/STAR/STAR_pre_post_flow_placenta/BAM_FILES/STAR.srt/qualimap/RHM073_CAGATC_L004_STAR.srt_stats/genome_results.txt
QualiMap	genome_results	RHM069_CGATGT_L003_STAR.srt	/storage/CTR-Projects/CTR_gjb2/CTR_gjb2_0001/STAR/STAR_pre_post_flow_placenta/BAM_FILES/STAR.srt/qualimap/RHM069_CGATGT_L003_STAR.srt_stats/genome_results.txt
QualiMap	genome_results	RHM064_CAGATC_L001_STAR.srt	/storage/CTR-Projects/CTR_gjb2/CTR_gjb2_0001/STAR/STAR_pre_post_flow_placenta/BAM_FILES/STAR.srt/qualimap/RHM064_CAGATC_L001_STAR.srt_stats/genome_results.txt
QualiMap	genome_results	RHM072_CGATGT_L004_STAR.srt	/storage/CTR-Projects/CTR_gjb2/CTR_gjb2_0001/STAR/STAR_pre_post_flow_placenta/BAM_FILES/STAR.srt/qualimap/RHM072_CGATGT_L004_STAR.srt_stats/genome_results.txt
QualiMap	genome_results	RHM066_CGATGT_L002_STAR.srt	/storage/CTR-Projects/CTR_gjb2/CTR_gjb2_0001/STAR/STAR_pre_post_flow_placenta/BAM_FILES/STAR.srt/qualimap/RHM066_CGATGT_L002_STAR.srt_stats/genome_results.txt
QualiMap	genome_results	RHM074_GTGAAA_L004_STAR.srt	/storage/CTR-Projects/CTR_gjb2/CTR_gjb2_0001/STAR/STAR_pre_post_flow_placenta/BAM_FILES/STAR.srt/qualimap/RHM074_GTGAAA_L004_STAR.srt_stats/genome_results.txt
QualiMap	genome_results	RHM063_CGATGT_L001_STAR.srt	/storage/CTR-Projects/CTR_gjb2/CTR_gjb2_0001/STAR/STAR_pre_post_flow_placenta/BAM_FILES/STAR.srt/qualimap/RHM063_CGATGT_L001_STAR.srt_stats/genome_results.txt
QualiMap	genome_results	RHM070_CAGATC_L003_STAR.srt	/storage/CTR-Projects/CTR_gjb2/CTR_gjb2_0001/STAR/STAR_pre_post_flow_placenta/BAM_FILES/STAR.srt/qualimap/RHM070_CAGATC_L003_STAR.srt_stats/genome_results.txt
QualiMap	genome_results	RHM071_GTGAAA_L003_STAR.srt	/storage/CTR-Projects/CTR_gjb2/CTR_gjb2_0001/STAR/STAR_pre_post_flow_placenta/BAM_FILES/STAR.srt/qualimap/RHM071_GTGAAA_L003_STAR.srt_stats/genome_results.txt
QualiMap	genome_results	RHM068_GTGAAA_L002_STAR.srt	/storage/CTR-Projects/CTR_gjb2/CTR_gjb2_0001/STAR/STAR_pre_post_flow_placenta/BAM_FILES/STAR.srt/qualimap/RHM068_GTGAAA_L002_STAR.srt_stats/genome_results.txt
QualiMap	genome_results	RHM076_CAGATC_L005_STAR.srt	/storage/CTR-Projects/CTR_gjb2/CTR_gjb2_0001/STAR/STAR_pre_post_flow_placenta/BAM_FILES/STAR.srt/qualimap/RHM076_CAGATC_L005_STAR.srt_stats/genome_results.txt
QualiMap	genome_results	RHM067_CAGATC_L002_STAR.srt	/storage/CTR-Projects/CTR_gjb2/CTR_gjb2_0001/STAR/STAR_pre_post_flow_placenta/BAM_FILES/STAR.srt/qualimap/RHM067_CAGATC_L002_STAR.srt_stats/genome_results.txt
QualiMap	genome_results	RHM065_GTGAAA_L001_STAR.srt	/storage/CTR-Projects/CTR_gjb2/CTR_gjb2_0001/STAR/STAR_pre_post_flow_placenta/BAM_FILES/STAR.srt/qualimap/RHM065_GTGAAA_L001_STAR.srt_stats/genome_results.txt
QualiMap	genome_results	RHM075_CGATGT_L005_STAR.srt	/storage/CTR-Projects/CTR_gjb2/CTR_gjb2_0001/STAR/STAR_pre_post_flow_placenta/BAM_FILES/STAR.srt/qualimap/RHM075_CGATGT_L005_STAR.srt_stats/genome_results.txt
QualiMap	coverage_histogram	RHM073_CAGATC_L004_STAR.srt_stats	/storage/CTR-Projects/CTR_gjb2/CTR_gjb2_0001/STAR/STAR_pre_post_flow_placenta/BAM_FILES/STAR.srt/qualimap/RHM073_CAGATC_L004_STAR.srt_stats/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	RHM069_CGATGT_L003_STAR.srt_stats	/storage/CTR-Projects/CTR_gjb2/CTR_gjb2_0001/STAR/STAR_pre_post_flow_placenta/BAM_FILES/STAR.srt/qualimap/RHM069_CGATGT_L003_STAR.srt_stats/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	RHM064_CAGATC_L001_STAR.srt_stats	/storage/CTR-Projects/CTR_gjb2/CTR_gjb2_0001/STAR/STAR_pre_post_flow_placenta/BAM_FILES/STAR.srt/qualimap/RHM064_CAGATC_L001_STAR.srt_stats/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	RHM072_CGATGT_L004_STAR.srt_stats	/storage/CTR-Projects/CTR_gjb2/CTR_gjb2_0001/STAR/STAR_pre_post_flow_placenta/BAM_FILES/STAR.srt/qualimap/RHM072_CGATGT_L004_STAR.srt_stats/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	RHM066_CGATGT_L002_STAR.srt_stats	/storage/CTR-Projects/CTR_gjb2/CTR_gjb2_0001/STAR/STAR_pre_post_flow_placenta/BAM_FILES/STAR.srt/qualimap/RHM066_CGATGT_L002_STAR.srt_stats/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	RHM074_GTGAAA_L004_STAR.srt_stats	/storage/CTR-Projects/CTR_gjb2/CTR_gjb2_0001/STAR/STAR_pre_post_flow_placenta/BAM_FILES/STAR.srt/qualimap/RHM074_GTGAAA_L004_STAR.srt_stats/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	RHM063_CGATGT_L001_STAR.srt_stats	/storage/CTR-Projects/CTR_gjb2/CTR_gjb2_0001/STAR/STAR_pre_post_flow_placenta/BAM_FILES/STAR.srt/qualimap/RHM063_CGATGT_L001_STAR.srt_stats/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	RHM070_CAGATC_L003_STAR.srt_stats	/storage/CTR-Projects/CTR_gjb2/CTR_gjb2_0001/STAR/STAR_pre_post_flow_placenta/BAM_FILES/STAR.srt/qualimap/RHM070_CAGATC_L003_STAR.srt_stats/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	RHM071_GTGAAA_L003_STAR.srt_stats	/storage/CTR-Projects/CTR_gjb2/CTR_gjb2_0001/STAR/STAR_pre_post_flow_placenta/BAM_FILES/STAR.srt/qualimap/RHM071_GTGAAA_L003_STAR.srt_stats/raw_data_qualimapReport/coverage_histogram.txt
