Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
ERR315326_R1_val.star	8097378.0	184.0	7181802.0	88.69	183.16	3339805.0	0.0	3307715.0	18924.0	1433.0	11733.0	0.25	0.01	1.75	0.01	1.33	583310.0	7.2	2021.0	0.02	0.0	4.02	0.05	0	326188	4057
ERR315327_R1_val.star	6062926.0	190.0	5679262.0	93.67	189.59	3435304.0	0.0	3410344.0	16377.0	615.0	7968.0	0.2	0.01	1.79	0.01	1.44	282592.0	4.66	963.0	0.02	0.0	1.64	0.01	0	99502	607
ERR315336_R1_val.star	16015393.0	193.0	14808472.0	92.46	192.13	7598259.0	0.0	7529869.0	46064.0	4329.0	17997.0	0.18	0.01	1.73	0.01	1.38	931931.0	5.82	2292.0	0.01	0.0	1.69	0.02	0	269509	3189
ERR315353_R1_val.star	12984387.0	184.0	11611897.0	89.43	182.79	5589445.0	0.0	5538415.0	30597.0	2284.0	18149.0	0.29	0.01	1.72	0.01	1.33	933576.0	7.19	2196.0	0.02	0.0	3.34	0.02	0	434118	2600
ERR315361_R1_val.star	7149788.0	197.0	6317881.0	88.36	196.17	3246766.0	0.0	3219431.0	18717.0	1642.0	6976.0	0.16	0.01	1.78	0.01	1.34	379222.0	5.3	1235.0	0.02	0.0	6.3	0.01	0	450735	715
ERR315368_R1_val.star	8321205.0	187.0	7387874.0	88.78	186.03	3101178.0	0.0	3070974.0	19042.0	1647.0	9515.0	0.22	0.01	1.76	0.01	1.35	659108.0	7.92	2458.0	0.03	0.0	3.24	0.03	0	269272	2493
ERR315374_R1_val.star	14894791.0	192.0	13744830.0	92.28	190.86	7564955.0	0.0	7502050.0	43546.0	3423.0	15936.0	0.17	0.01	1.77	0.01	1.38	917143.0	6.16	1962.0	0.01	0.0	1.54	0.01	0	229367	1489
ERR315377_R1_val.star	14686919.0	192.0	13552418.0	92.28	190.9	7463985.0	0.0	7402263.0	42488.0	3289.0	15945.0	0.17	0.01	1.78	0.01	1.38	905850.0	6.17	2039.0	0.01	0.0	1.53	0.01	0	225140	1472
ERR315386_R1_val.star	7212987.0	182.0	6532052.0	90.56	181.18	2841501.0	0.0	2815445.0	16623.0	1244.0	8189.0	0.21	0.01	1.77	0.01	1.36	490224.0	6.8	1814.0	0.03	0.0	2.59	0.03	0	186734	2163
ERR315394_R1_val.star	6031654.0	190.0	5648708.0	93.65	189.6	3418964.0	0.0	3394196.0	16213.0	603.0	7952.0	0.2	0.01	1.81	0.01	1.43	281680.0	4.67	1084.0	0.02	0.0	1.65	0.01	0	99578	604
ERR315399_R1_val.star	15744129.0	193.0	14557542.0	92.46	192.21	7475788.0	0.0	7408788.0	45125.0	4238.0	17637.0	0.18	0.01	1.73	0.01	1.39	916870.0	5.82	2176.0	0.01	0.0	1.68	0.02	0	264393	3148
ERR315414_R1_val.star	22440812.0	178.0	20944329.0	93.33	177.5	11101672.0	0.0	11029352.0	47401.0	2025.0	22894.0	0.4	0.0	1.79	0.01	1.27	1087637.0	4.85	1836.0	0.01	0.0	1.81	0.01	0	404774	2236
ERR315424_R1_val.star	8094960.0	184.0	7157995.0	88.43	182.44	3265828.0	0.0	3235399.0	17990.0	1305.0	11134.0	0.3	0.01	1.74	0.01	1.33	585773.0	7.24	2006.0	0.02	0.0	4.26	0.06	0	344336	4850
ERR315432_R1_val.star	17039329.0	183.0	16073486.0	94.33	182.66	5949359.0	0.0	5882304.0	43374.0	3355.0	20326.0	0.36	0.01	1.69	0.01	1.34	716226.0	4.2	2411.0	0.01	0.0	1.44	0.01	0	245501	1705
ERR315433_R1_val.star	8343036.0	187.0	7413438.0	88.86	185.86	3099388.0	0.0	3069343.0	18991.0	1646.0	9408.0	0.22	0.01	1.77	0.01	1.35	656054.0	7.86	2509.0	0.03	0.0	3.22	0.03	0	268533	2502
ERR315438_R1_val.star	7227931.0	182.0	6546891.0	90.58	181.07	2840202.0	0.0	2814291.0	16473.0	1287.0	8151.0	0.21	0.01	1.75	0.01	1.36	489472.0	6.77	1881.0	0.03	0.0	2.6	0.03	0	187523	2164
ERR315439_R1_val.star	5985652.0	198.0	3430888.0	57.32	196.41	1599660.0	0.0	1584538.0	9577.0	650.0	4895.0	0.21	0.01	1.78	0.01	1.34	111447.0	1.86	801.0	0.01	0.0	40.8	0.01	0	2441917	599
ERR315444_R1_val.star	6078159.0	198.0	3486834.0	57.37	196.27	1625647.0	0.0	1610090.0	9771.0	675.0	5111.0	0.19	0.01	1.75	0.01	1.34	112020.0	1.84	897.0	0.01	0.0	40.77	0.01	0	2477800	608
ERR315451_R1_val.star	14893100.0	190.0	13777705.0	92.51	189.1	7422097.0	0.0	7359599.0	38455.0	1755.0	22288.0	0.2	0.01	1.83	0.01	1.33	865473.0	5.81	1329.0	0.01	0.0	1.66	0.01	0	247104	1489
ERR315455_R1_val.star	23696826.0	190.0	22012268.0	92.89	188.89	9012759.0	0.0	8918338.0	66240.0	5252.0	22929.0	0.27	0.01	1.64	0.01	1.31	916372.0	3.87	3937.0	0.02	0.0	3.21	0.02	0	759517	4732
ERR315463_R1_val.star	15150638.0	190.0	14019662.0	92.54	188.98	7545176.0	0.0	7481670.0	38880.0	1836.0	22790.0	0.2	0.01	1.82	0.01	1.34	878995.0	5.8	1381.0	0.01	0.0	1.64	0.01	0	249081	1519
ERR315476_R1_val.star	14355649.0	190.0	13244543.0	92.26	189.5	6405672.0	0.0	6349826.0	37069.0	3064.0	15713.0	0.18	0.01	1.77	0.01	1.38	864454.0	6.02	2413.0	0.02	0.0	1.68	0.02	0	241366	2873
ERR315477_R1_val.star	27656244.0	189.0	25682487.0	92.86	188.53	9866393.0	0.0	9762803.0	69488.0	5491.0	28611.0	0.28	0.01	1.69	0.01	1.33	1116514.0	4.04	5938.0	0.02	0.0	3.06	0.02	0	845777	5528
ERR315478_R1_val.star	14598729.0	190.0	13469938.0	92.27	189.47	6503674.0	0.0	6446877.0	38085.0	3072.0	15640.0	0.18	0.01	1.76	0.01	1.38	878530.0	6.02	2416.0	0.02	0.0	1.68	0.02	0	244929	2916
ERR315487_R1_val.star	13070231.0	184.0	11725198.0	89.71	183.41	5750694.0	0.0	5697824.0	31844.0	2322.0	18704.0	0.24	0.01	1.72	0.01	1.33	933922.0	7.15	2237.0	0.02	0.0	3.1	0.02	0	406253	2621
ERR315490_R1_val.star	7192568.0	197.0	6353898.0	88.34	196.01	3253274.0	0.0	3226243.0	18577.0	1528.0	6926.0	0.17	0.01	1.76	0.01	1.34	382959.0	5.32	1224.0	0.02	0.0	6.31	0.01	0	453768	719
ERR315495_R1_val.star	12709614.0	197.0	11249222.0	88.51	196.26	5741326.0	0.0	5693655.0	32935.0	2701.0	12035.0	0.19	0.01	1.71	0.01	1.34	671535.0	5.28	2202.0	0.02	0.0	6.18	0.01	0	785384	1271
HS002-PE-R00059_BD0U5YACXX.RHM063_CGATGT_L001_R1_val.star	50471557.0	193.0	45633473.0	90.41	191.98	21415573.0	0.0	21237258.0	116683.0	9831.0	51801.0	0.24	0.01	1.61	0.01	1.33	0.0	0.0	4182412.0	8.29	0.0	1.28	0.02	0	645585	10087
HS002-PE-R00059_BD0U5YACXX.RHM064_CAGATC_L001_R1_val.star	32899019.0	193.0	29684848.0	90.23	192.63	14678036.0	0.0	14559397.0	75038.0	5540.0	38061.0	0.26	0.01	1.69	0.01	1.35	0.0	0.0	2823364.0	8.58	0.0	1.17	0.02	0	384239	6568
HS002-PE-R00059_BD0U5YACXX.RHM065_GTGAAA_L001_R1_val.star	67414992.0	193.0	60234348.0	89.35	192.54	27380058.0	0.0	27131844.0	154371.0	12790.0	81053.0	0.22	0.01	1.63	0.01	1.35	0.0	0.0	6325829.0	9.38	0.0	1.25	0.02	0	841353	13462
HS002-PE-R00059_BD0U5YACXX.RHM066_CGATGT_L002_R1_val.star	58016047.0	169.0	51415239.0	88.62	168.11	19729609.0	0.0	19559462.0	109209.0	8563.0	52375.0	0.24	0.01	1.65	0.01	1.34	0.0	0.0	5827049.0	10.04	0.0	1.31	0.02	0	762124	11635
HS002-PE-R00059_BD0U5YACXX.RHM067_CAGATC_L002_R1_val.star	70152623.0	168.0	63034319.0	89.85	167.44	23201626.0	0.0	23004623.0	125319.0	10422.0	61262.0	0.25	0.01	1.67	0.01	1.35	0.0	0.0	6285291.0	8.96	0.0	1.17	0.02	0	819013	14000
HS002-PE-R00059_BD0U5YACXX.RHM068_GTGAAA_L002_R1_val.star	57544452.0	168.0	52630118.0	91.46	167.71	20525237.0	0.0	20353754.0	115334.0	9169.0	46980.0	0.24	0.01	1.71	0.01	1.3	0.0	0.0	4123039.0	7.16	0.0	1.36	0.02	0	779827	11468
HS002-PE-R00059_BD0U5YACXX.RHM069_CGATGT_L003_R1_val.star	53502094.0	196.0	47356060.0	88.51	195.7	23557944.0	0.0	23356623.0	129453.0	9052.0	62816.0	0.18	0.01	1.81	0.01	1.35	0.0	0.0	5511136.0	10.3	0.0	1.17	0.02	0	624227	10671
HS002-PE-R00059_BD0U5YACXX.RHM070_CAGATC_L003_R1_val.star	43410907.0	196.0	38658933.0	89.05	195.18	19693678.0	0.0	19520924.0	102412.0	7499.0	62843.0	0.21	0.01	1.82	0.01	1.4	0.0	0.0	4227352.0	9.74	0.0	1.19	0.02	0	515951	8671
HS002-PE-R00059_BD0U5YACXX.RHM071_GTGAAA_L003_R1_val.star	51990896.0	196.0	45500859.0	87.52	195.6	20283543.0	0.0	20109904.0	117476.0	9732.0	46431.0	0.19	0.01	1.71	0.01	1.35	0.0	0.0	5933138.0	11.41	0.0	1.05	0.02	0	546490	10409
