Gene_Name,Gene_symbol,Human_entrez,Rat_entrez,Mouse_entrez,Synonym,DbTF,PMID,Uniprot_Human,Uniprot_Rat,Uniprot_mouse
AEBP1,AE binding protein 1,165,305494,11568,ACLP,yes,10510298,Q8IUX7,A2RUV9,Q640N1
AEBP2,AE binding protein 2,121536,297705,11569,-,yes,10329662,Q6ZN18,,Q9Z248
AFR2,"alpha fetoprotein regulation 2, inducibility",0,0,110685,,yes,15767785,,,
AHR,aryl hydrocarbon receptor,196,25690,11622,BHLHE76,yes,7592839,P35869,P41738,"Q3U5D9,P30561"
AIRE,autoimmune regulator,326,294328,11634,AIRE1|APECED|APS1|APSI|PGA1,yes,"11274163, 11533054",O43918,,"B2MVU6,Q9Z0E3"
AKNA,AT-hook transcription factor,80709,362530,100182,-,yes,21606955,"Q7Z591,Q64FY1",D3ZLV5,Q80VW7
ALX1,ALX homeobox 1,8092,25401,216285,CART1|FND3,yes,9753625,Q15699,"B0BMW6,Q63087",Q8C8B0
ALX3,ALX homeobox 3,257,365900,11694,FND1,yes,15226305,O95076,Q6RW14,"Q3UQX2,O70137"
ALX4,ALX homeobox 4,60529,296511,11695,FND2,yes,9847249,Q9H161,D3ZEM1,"O35137,A2AIK6"
APEX1,APEX nuclease (multifunctional DNA repair enzyme) 1,328,79116,11792,APE|APE1|APEN|APEX|APX|HAP1|REF1,yes,1380454,"P27695,Q5TZP7",P43138,"P28352,Q544Z7"
AR,androgen receptor,367,24208,11835,AIS|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM,yes,7685765,"P10275,F1D8N5",P15207,"B1AVE7,P19091"
ARHGAP35,Rho GTPase activating protein 35,2909,306400,232906,GRF-1|GRLF1|P190-A|P190A|P190ARHOGAP|P190RHOGAP,yes,1894621,Q9NRY4,,"Q3UVZ8,Q8CCL8,Q91YM2,B2RTN5"
ARID3A,AT rich interactive domain 3A (BRIGHT-like),1820,314616,13496,BRIGHT|DRIL1|DRIL3|E2FBP1,yes,15456761,Q99856,B5DEX9,Q62431
ARID3B,AT rich interactive domain 3B (BRIGHT-like),10620,367092,56380,BDP|DRIL2,yes,8543152,Q8IVW6,D3ZGC2,Q9Z1N7
ARID3C,AT rich interactive domain 3C (BRIGHT-like),138715,502946,550619,-,yes,21955986,A6NKF2,D3ZQB1,"B7ZP08,A6PWV5"
ARID5A,AT rich interactive domain 5A (MRF1-like),10865,316327,214855,MRF-1|MRF1|RP11-363D14,yes,8649988,Q03989,Q3KRC8,Q3U108
ARID5B,AT rich interactive domain 5B (MRF1-like),84159,309728,71371,DESRT|MRF-2|MRF2,yes,"8649988, 8649988, 10329386, 10329386",Q14865,,Q8BM75
ARNT,aryl hydrocarbon receptor nuclear translocator,405,25242,11863,HIF-1-BETA|HIF-1BETA|HIF1-BETA|HIF1B|HIF1BETA|TANGO|BHLHE2,yes,7592839,"B0AZM1,P27540,A8K6P0",P41739,"P53762,Q3ULM2"
ARNT2,aryl-hydrocarbon receptor nuclear translocator 2,9915,25243,11864,BHLHE1,yes,8657146,"Q86TN1,Q7Z3A3,Q9HBZ2",Q78E60,Q61324
ARNTL,aryl hydrocarbon receptor nuclear translocator-like,406,29657,11865,BMAL1|BMAL1C|JAP3|MOP3|PASD3|TIC|BHLHE5,yes,"9576906, 9616112",O00327,Q9EPW1,"Q9WTL8,Q3UHZ2"
ARNTL2,aryl hydrocarbon receptor nuclear translocator-like 2,56938,362464,272322,BMAL2|CLIF|MOP9|PASD9|BHLHE6,yes,16893914,"F5H402,B7Z429,Q8WYA1",,Q2VPD4
ARX,aristaless related homeobox,170302,317268,11878,CT121|EIEE1|ISSX|MRX29|MRX32|MRX33|MRX36|MRX38|MRX43|MRX54|MRX76|MRX87|MRXS1|PRTS,yes,15930104,Q96QS3,A6YP92,O35085
ASCL1,achaete-scute complex homolog 1 (Drosophila),429,64186,17172,ASH1|HASH1|MASH1|BHLHA46,yes,"8662987, 8900141",P50553,P19359,Q02067
ASCL2,achaete-scute complex homolog 2 (Drosophila),430,24209,17173,ASH2|HASH2|MASH2|BHLHA45,yes,1314394,Q99929,P19360,"Q3TJR9,O35885"
ASCL3,achaete-scute complex homolog 3 (Drosophila),56676,246301,56787,HASH3|SGN1|BHLHA42,yes,11784080,Q9NQ33,F1LQ83,Q9JJR7
ATF1,activating transcription factor 1,466,315305,11908,EWS-ATF1|FUS/ATF-1|TREB36,yes,2516827,P18846,Q5BK34,"Q9CWS2,P81269"
ATF2,activating transcription factor 2,1386,81647,11909,CRE-BP1|CREB2|HB16|TREB7,yes,"1658708, 2516827, 2529117, 9139739, 10909971","A4D7V5,Q3B7B7,Q8TAR1,P15336,G8JLM5,A4D7U4",Q00969,"Q68FE3,Q640L6,A2AQF2,Q543G2,P16951"
ATF3,activating transcription factor 3,467,25389,11910,-,yes,"2516827, 11916968, 12815047","Q5VTZ2,P18847",P29596,"Q60765,Q4FJW1"
ATF4,activating transcription factor 4 (tax-responsive enhancer element B67),468,79255,11911,CREB-2|CREB2|TAXREB67|TXREB,yes,"2516827, 16000305","P18848,Q96AQ3","Q9ES19,B0BMW3","Q06507,Q8CF69"
ATF5,activating transcription factor 5,22809,282840,107503,ATFX|HMFN0395,yes,"2516827, 15735663",Q9Y2D1,Q6P788,"Q3UJF3,O70191"
ATF6,activating transcription factor 6,22926,304962,226641,ATF6A,yes,"2516827, 9271374","P18850,A8K383",G3V909,F6VAN0
ATF6B,activating transcription factor 6 beta,1388,406169,12915,CREB-RP|CREBL1|G13,yes,14973138,"Q6AZW6,Q99941",Q4G097,"O35451,Q3UJ07"
ATF7,activating transcription factor 7,11016,315333,223922,ATFA,yes,"2516827, 11278933",P17544,G3V7X9,"Q3U2X8,Q8R0S1"
ATOH1,atonal homolog 1 (Drosophila),474,500156,11921,ATH1|HATH1|MATH-1|BHLHA14,yes,14757642,Q92858,D3ZQL9,P48985
ATOH7,atonal homolog 7 (Drosophila),220202,365564,53404,MATH5|BHLHA13,yes,11172005,"F1T0H4,Q8N100",D3ZG53,Q9Z2E5
BACH1,"BTB and CNC homology 1, basic leucine zipper transcription factor 1",571,304127,12013,BACH-1,yes,10620011,"Q6ICU0,O14867",D4ACD2,"P97302,Q3US24,Q3URL4"
BACH2,"BTB and CNC homology 1, basic leucine zipper transcription factor 2",60468,366340,12014,BTBD25,yes,"8887638, 10949928",Q9BYV9,,"A2ANU8,A2RRI0"
BARHL1,BarH-like homeobox 1,56751,117232,54422,-,yes,18212062,Q9BZE3,P63156,"P63157,A2AIT5"
BARHL2,BarH-like homeobox 2,343472,65050,104382,-,yes,22307612,Q9NY43,O88181,"Q7TNS3,Q8VIB5"
BARX1,BARX homeobox 1,56033,364680,12022,-,yes,15809042,Q9HBU1,D3ZA67,Q9ER42
BARX2,BARX homeobox 2,8538,679701,12023,-,yes,"14744868, 15728386",Q9UMQ3,,O08686
BATF,"basic leucine zipper transcription factor, ATF-like",10538,299206,53314,B-ATF|BATF1|SFA-2|SFA2,yes,21873234,Q16520,D4A7E1,O35284
BATF3,"basic leucine zipper transcription factor, ATF-like 3",55509,60462,381319,JDP1|JUNDM1|SNFT,yes,15467742,Q9NR55,P97876,Q9D275
BBX,bobby sox homolog (Drosophila),56987,303970,70508,HBP2|HSPC339|MDS001,yes,11680820,"A8K6U2,Q8WY36",A1L1L0,Q8VBW5
BCL11A,B-cell CLL/lymphoma 11A (zinc finger protein),53335,305589,14025,BCL11A-L|BCL11A-S|BCL11A-XL|BCL11A-M|CTIP1|EVI9|HBFQTL5|ZNF856,yes,19056937,"D6W5D9,Q9H165,D9YZV9",D3ZSY3,"Q3US10,Q5STS8,Q5STS9,Q9QYE3,Q5STS5,Q5STS7,Q3TP99"
BCL11B,B-cell CLL/lymphoma 11B (zinc finger protein),64919,314423,58208,CTIP-2|CTIP2|RIT1|ZNF856B|HRIT1-ALPHA,yes,12196208,Q9C0K0,D4A0W4,Q99PV8
BCL6,B-cell CLL/lymphoma 6,604,303836,12053,BCL5|BCL6A|LAZ3|ZBTB27|ZNF51,yes,12097386,"P41182,B5B0A5",B2GUV8,"Q544F9,P41183"
BCL6B,"B-cell CLL/lymphoma 6, member B",255877,360551,12029,BAZF|ZBTB28|ZNF62,yes,9632807,"A8KA13,Q8N143",D3ZTN3,"O88282,Q5BKP3"
BCLAF1,BCL2-associated transcription factor 1,9774,293017,72567,BTF|BK211L9.1,yes,17938203,Q9NYF8,B1WC16,"Q8K019,F8WI22"
BHLHA15,"basic helix-loop-helix family, member a15",168620,25334,17341,BHLHB8|MIST1,yes,20038531,Q7RTS1,P70562,Q9QYC3
BHLHA9,"basic helix-loop-helix family, member a9",727857,363656,320522,BHLHF42,yes,22147889,Q7RTU4,D3ZY30,Q5RJB0
BHLHE22,"basic helix-loop-helix family, member e22",27319,365748,59058,BHLHB5|BETA3|CAGL85|TNRC20,yes,22284184,"B4DF88,Q8NFJ8",,Q8C6A8
BHLHE23,"basic helix-loop-helix family, member e23",128408,499952,140489,BETA4|BHLHB4|BA305P22.3,yes,15363390,Q8NDY6,D3ZU26,"Q0VEJ8,Q8BGW3"
BHLHE40,"basic helix-loop-helix family, member e40",8553,79431,20893,BHLHB2|DEC1|HLHB2|SHARP-2|STRA13|STRA14,yes,12297495,"Q6IB83,O14503",O35780,"Q542A5,O35185"
BHLHE41,"basic helix-loop-helix family, member e41",79365,117095,79362,BHLHB3|DEC2|SHARP1|HDEC2,yes,12657651,"Q8TAT1,Q9C0J9",,"Q99PV5,Q6L8F5"
BMPR1A,"bone morphogenetic protein receptor, type IA",657,0,0,10Q23DEL|ACVRLK3|ALK3|CD292|SKR5,yes,19416967,,,
BNC1,basonuclin 1,646,365299,12173,BNC|BSN1|HST19447,yes,16919236,Q01954,,F8VPY0
