"","ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","external_gene_name","entrezgene_id","description"
"8568","ENSG00000144285",127.719590960976,4.97132911691959,0.402638704544389,10.189085249409,2.21841734320883e-24,4.16119633152397e-21,"SCN1A",6323,"sodium voltage-gated channel alpha subunit 1"
"1104","ENSG00000070193",64.741268703364,4.64505975700504,0.381935458934859,9.90637852378571,3.90546445288919e-23,5.0961217026135e-20,"FGF10",2255,"fibroblast growth factor 10"
"114","ENSG00000005981",145.437641465308,4.02873087878287,0.34856510947945,10.160086501242,2.98811222906379e-24,5.27524848345074e-21,"ASB4",51666,"ankyrin repeat and SOCS box containing 4"
"33015","ENSG00000235531",128.380645965341,3.96722880231615,0.321508401006212,11.156733888769,6.63858591538846e-29,2.21374711658487e-25,"MSC-AS1",NA,"MSC antisense RNA 1"
"1170","ENSG00000071991",88.1868478600031,3.91265659430551,0.367583289954261,9.17453212201221,4.53539698808016e-20,2.89609222140983e-17,"CDH19",28513,"cadherin 19"
"19698","ENSG00000203710",345.494606227827,3.87918495956932,0.269522035876078,13.1776764898542,1.17968350516996e-39,8.85116533929024e-36,"CR1",1378,"complement C3b/C4b receptor 1 (Knops blood group)"
"14605","ENSG00000178860",292.807523445685,3.80095036267989,0.361057840783869,9.4686868648595,2.83383606866369e-21,2.50144376743337e-18,"MSC",9242,"musculin"
"14662","ENSG00000179097",11.7394458439647,3.64325760137338,0.39061754835325,7.27717921858586,3.40872291478007e-13,5.38434695359891e-11,"HTR1F",3355,"5-hydroxytryptamine receptor 1F"
"28590","ENSG00000229056",103.696909312325,3.63895084902125,0.346839751990425,9.55297168188001,1.26028346462832e-21,1.23885957399051e-18,"HECW2-AS1",NA,"HECW2 antisense RNA 1"
"20371","ENSG00000205835",16.8530957628281,3.58112382097508,0.430176312291298,7.00749793158786,2.42617604169502e-12,3.03132144320442e-10,"GMNC",647309,"geminin coiled-coil domain containing"
"38461","ENSG00000249321",21.4470217157949,3.528571638865,0.428674060828594,6.41524565093998,1.40595967005934e-10,1.05226088822496e-08,"OR5H5P",NA,"olfactory receptor family 5 subfamily H member 5 pseudogene"
"39398","ENSG00000250771",52.8661702143102,3.51052379189314,0.337026395427049,9.25418791028036,2.15865059200203e-20,1.54251003731345e-17,"AC106865.1",NA,"toll-like receptor 2 pseudogene"
"6943","ENSG00000134548",144.348965697112,3.46982302444896,0.393419226272323,7.93719081573766,2.06811759141954e-15,5.64257683215302e-13,"SPX",80763,"spexin hormone"
"9774","ENSG00000154262",61.6007070142226,3.46133556943501,0.287815405139666,10.7097234297695,9.16351577288879e-27,2.50014032159944e-23,"ABCA6",23460,"ATP binding cassette subfamily A member 6"
"665","ENSG00000049540",2272.12753148171,3.37225999342826,0.362926074514751,8.65830659596876,4.78824204187312e-18,2.28102730413803e-15,"ELN",2006,"elastin"
"39401","ENSG00000250777",11.7177234839186,3.34774382275191,0.3552950244048,7.48035505801902,7.41220773802177e-14,1.40667269761592e-11,"AC131956.2",NA,"novel transcript"
"15555","ENSG00000183549",35.6342188817813,3.34744077999925,0.424643928241392,7.08873560942155,1.35342807606278e-12,1.80529259639094e-10,"ACSM5",54988,"acyl-CoA synthetase medium chain family member 5"
"7198","ENSG00000135925",226.797143137371,3.33602132448096,0.318471150536917,9.76069213620376,1.66018273737151e-22,1.99301617255975e-19,"WNT10A",80326,"Wnt family member 10A"
"8002","ENSG00000140505",25.0711017512114,3.2630052971424,0.375732441095839,8.04694068862139,8.48892954444808e-16,2.54769753487976e-13,"CYP1A2",1544,"cytochrome P450 family 1 subfamily A member 2"
"32","ENSG00000002933",415.112530634134,3.14714051230097,0.347229579006045,8.08572682502677,6.17945546657221e-16,1.97295550492303e-13,"TMEM176A",55365,"transmembrane protein 176A"
"9720","ENSG00000153898",172.63742879473,3.14302198493211,0.32612420530639,8.34098284365684,7.36755855669157e-17,2.9482022320457e-14,"MCOLN2",255231,"mucolipin 2"
"45291","ENSG00000259444",10.6145389448463,3.13508077402201,0.375770885532043,7.19095787751529,6.43383309576849e-13,9.41913165220507e-11,"AL161669.1",NA,"novel transcript, sense overlapping EXOC3L4"
"10852","ENSG00000162739",33.9777571650369,3.12136334624416,0.296052379230376,9.53474808918944,1.50249903590152e-21,1.40915628329614e-18,"SLAMF6",114836,"SLAM family member 6"
"7460","ENSG00000137252",11.221108679338,3.09535625228432,0.360426397213159,7.22872337317346,4.8755538889686e-13,7.24381798592701e-11,"HCRTR2",3062,"hypocretin receptor 2"
"47134","ENSG00000262133",10.3993169431086,3.06864329205104,0.423716258069799,5.68329094230385,1.32127211067394e-08,5.47707439026884e-07,"AC087392.2",NA,"novel transcript, antisense to NXN"
"11176","ENSG00000163815",206.859286421436,3.06720449114956,0.347621137106593,8.11686207370308,4.78391938734944e-16,1.57774712805639e-13,"CLEC3B",7123,"C-type lectin domain family 3 member B"
"15081","ENSG00000181374",160.699096389124,3.0626933717406,0.409787870027851,6.92481005654964,4.36560875151387e-12,5.09807976071729e-10,"CCL13",6357,"C-C motif chemokine ligand 13"
"6771","ENSG00000133392",816.169593154856,3.05808650474663,0.387990967372637,8.20487259362134,2.30835548392686e-16,8.15039585689562e-14,"MYH11",4629,"myosin heavy chain 11"
"37570","ENSG00000246430",87.0431562902387,3.05778669647984,0.362245239469414,7.55318246053791,4.24749283308037e-14,8.79143137285574e-12,"LINC00968",NA,"long intergenic non-protein coding RNA 968"
"12369","ENSG00000168309",87.8149930609596,3.05067578443475,0.311318072005597,8.69439962606683,3.48668472653885e-18,1.77359969513362e-15,"FAM107A",11170,"family with sequence similarity 107 member A"
"3724","ENSG00000109906",24.1147666776428,3.02940500937839,0.328855661070683,8.07764456066814,6.60297321984609e-16,2.06425450285438e-13,"ZBTB16",7704,"zinc finger and BTB domain containing 16"
"8483","ENSG00000143768",28.5083016904714,3.00578006315245,0.366915917904419,7.36457979915951,1.77705727018878e-13,3.06511740189113e-11,"LEFTY2",7044,"left-right determination factor 2"
"17233","ENSG00000196611",64.5314105464693,2.99760322707451,0.414560406496798,6.7765600359513,1.23070933761155e-11,1.21901150628376e-09,"MMP1",4312,"matrix metallopeptidase 1"
